Indicator,Disaggregation combinations using this value
#1-1-1,1
#1-1-1-1a,3
#1-2-1,7
#1-2-1-1a,38
#1-2-2,8
#1-3-1,1
#1-3-1-1c,1
#1-3-1-1e,3
#1-3-1-1f,2
#1-3-1-1g,3
#1-5-2,1
#1-a-2,4
#1-b-1-1,10
#10-1-1,2
#10-2-1,10
#10-3-1-1a,2
#10-4-1,1
#10-5-1-1,3
#11-2-1,18
#11-5-2,1
#11-6-1-1,1
#11-6-1-1a,5
#11-7-1-1a,1
#12-4-2,1
#13-1-1,3
#15-1-1-1,1
#15-1-2-1,1
#15-2-1,4
#15-3-1-1,5
#15-4-1,1
#15-5-1-1,6
#15-7-1-1,3
#15-7-1-2,1
#15-b-1-1,12
#15-c-1-1,3
#16-1-1,2
#16-1-1-1,1
#16-1-3,16
#16-1-4,18
#16-1-4-1a,1
#16-2-1,33
#16-2-2,1
#16-3-1,3
#16-4-2-1,2
#16-5-1-1a,1
#16-5-1-1b,6
#16-6-1,8
#16-6-2-1a,1
#16-7-1-1,9
#16-9-1,24
#16-b-1,23
#16-b-1-1,24
#17-1-1,6
#17-1-2,1
#17-13-1-1,8
#17-3-1-1a,19
#17-4-1,1
#17-6-2,3
#17-8-1,18
#2-1-1,3
#2-1-1-1e,10
#2-2-1,39
#2-2-2,4
#2-a-1,1
#2-c-1-1b,1
#3-1-1,1
#3-1-2,1
#3-2-1,1
#3-2-2,1
#3-3-1,4
#3-3-2,3
#3-3-3,1
#3-3-4,3
#3-4-1,4
#3-4-2,1
#3-5-1-1,3
#3-5-2-1,3
#3-6-1,1
#3-7-1,41
#3-7-2,1
#3-9-1-1,3
#3-9-2,1
#3-9-3,1
#3-b-1,3
#3-c-1,4
#4-1-1-1a,32
#4-2-1,20
#4-2-2,1
#4-2-2-1a,3
#4-3-1-1,9
#4-4-1,18
#4-4-1-1a,7
#4-b-1-1,6
#4-c-1-1,3
#5-2-1-1a,5
#5-2-1-1b,17
#5-3-1,22
#5-4-1,3
#5-5-1,1
#5-5-2,1
#5-6-1-1,3
#5-b-1,18
#6-1-1,3
#6-1-1-2b,2
#6-2-1,13
#6-2-1-1,1
#6-3-1,1
#6-4-1-2,2
#6-4-2-1,3
#6-a-1-1,3
#7-1-1,20
#7-1-2,13
#7-2-1-1,2
#7-3-1-1,1
#7-3-1-2,4
#7-b-1-1a,1
#8-1-1,1
#8-10-1,2
#8-10-2,18
#8-10-2-2,2
#8-2-1,1
#8-3-1-1,16
#8-3-1-2,2
#8-5-1-1,40
#8-5-2,10
#8-6-1,3
#8-7-1,22
#8-8-1,6
#8-9-1-1,1
#9-1-2,12
#9-2-1,2
#9-2-2,3
#9-3-1,1
#9-4-1-1,6
#9-5-1,1
#9-5-2,1
#9-b-1,1
#9-c-1,3
