Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2007,Normal value,Units,Country Data,Annual,National,Number of appeals to the Ombudsman,Kyrgyzstan,Number,3014
2008,Normal value,Units,Country Data,Annual,National,Number of appeals to the Ombudsman,Kyrgyzstan,Number,2136
2009,Normal value,Units,Country Data,Annual,National,Number of appeals to the Ombudsman,Kyrgyzstan,Number,1742
2010,Normal value,Units,Country Data,Annual,National,Number of appeals to the Ombudsman,Kyrgyzstan,Number,1862
2011,Normal value,Units,Country Data,Annual,National,Number of appeals to the Ombudsman,Kyrgyzstan,Number,2098
2012,Normal value,Units,Country Data,Annual,National,Number of appeals to the Ombudsman,Kyrgyzstan,Number,2843
2013,Normal value,Units,Country Data,Annual,National,Number of appeals to the Ombudsman,Kyrgyzstan,Number,2466
2014,Normal value,Units,Country Data,Annual,National,Number of appeals to the Ombudsman,Kyrgyzstan,Number,2411
2015,Normal value,Units,Country Data,Annual,National,Number of appeals to the Ombudsman,Kyrgyzstan,Number,2483
2016,Normal value,Units,Country Data,Annual,National,Number of appeals to the Ombudsman,Kyrgyzstan,Number,3800
2017,Normal value,Units,Country Data,Annual,National,Number of appeals to the Ombudsman,Kyrgyzstan,Number,3242
2018,Normal value,Units,Country Data,Annual,National,Number of appeals to the Ombudsman,Kyrgyzstan,Number,3237
2007,Normal value,Units,Country Data,Annual,National,Number of successful appeals to the Ombudsman,Kyrgyzstan,Number,619
2010,Normal value,Units,Country Data,Annual,National,Number of successful appeals to the Ombudsman,Kyrgyzstan,Number,309
2011,Normal value,Units,Country Data,Annual,National,Number of successful appeals to the Ombudsman,Kyrgyzstan,Number,196
2012,Normal value,Units,Country Data,Annual,National,Number of successful appeals to the Ombudsman,Kyrgyzstan,Number,501
2013,Normal value,Units,Country Data,Annual,National,Number of successful appeals to the Ombudsman,Kyrgyzstan,Number,384
2015,Normal value,Units,Country Data,Annual,National,Number of successful appeals to the Ombudsman,Kyrgyzstan,Number,374
2016,Normal value,Units,Country Data,Annual,National,Number of successful appeals to the Ombudsman,Kyrgyzstan,Number,615
2017,Normal value,Units,Country Data,Annual,National,Number of successful appeals to the Ombudsman,Kyrgyzstan,Number,531
2018,Normal value,Units,Country Data,Annual,National,Number of successful appeals to the Ombudsman,Kyrgyzstan,Number,376
