Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2007,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,,Percent,25.4
2008,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,,Percent,24.8
2009,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,,Percent,27.6
2010,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,,Percent,26.3
2011,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,,Percent,27.2
2012,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,,Percent,28.0
2013,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,,Percent,28.7
2014,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,,Percent,29.8
2015,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,,Percent,29.8
2016,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,,Percent,27.4
2017,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,,Percent,28.2
2018,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,,Percent,26.6
2019,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,,Percent,28.4
2007,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Tax revenues,Percent,18.7
2008,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Tax revenues,Percent,19.1
2009,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Tax revenues,Percent,17.9
2010,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Tax revenues,Percent,17.9
2011,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Tax revenues,Percent,18.5
2012,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Tax revenues,Percent,20.6
2013,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Tax revenues,Percent,20.5
2014,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Tax revenues,Percent,20.6
2015,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Tax revenues,Percent,19.7
2016,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Tax revenues,Percent,19.7
2017,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Tax revenues,Percent,19.5
2018,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Tax revenues,Percent,20.5
2019,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Tax revenues,Percent,20.6
2016,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Contributions / deductions for social needs,Percent,0.0
2017,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Contributions / deductions for social needs,Percent,0.5
2007,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Received official transfers,Percent,1.3
2008,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Received official transfers,Percent,0.7
2009,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Received official transfers,Percent,5.1
2010,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Received official transfers,Percent,3.2
2011,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Received official transfers,Percent,3.1
2012,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Received official transfers,Percent,1.8
2013,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Received official transfers,Percent,2.6
2014,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Received official transfers,Percent,2.5
2015,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Received official transfers,Percent,2.2
2016,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Received official transfers,Percent,2.1
2017,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Received official transfers,Percent,2.5
2018,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Received official transfers,Percent,1.6
2019,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Received official transfers,Percent,2.3
2007,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Non-tax revenues,Percent,5.1
2008,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Non-tax revenues,Percent,4.4
2009,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Non-tax revenues,Percent,4.5
2010,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Non-tax revenues,Percent,5.0
2011,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Non-tax revenues,Percent,5.5
2012,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Non-tax revenues,Percent,5.6
2013,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Non-tax revenues,Percent,5.6
