Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,Age,UNIT_MEASURE,Value
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children moderately or severely wasted (number),Kyrgyzstan,under 5 years old,Percent,2.8
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018.",Annual,National,Proportion of children moderately or severely wasted (number),Kyrgyzstan,under 5 years old,Percent,2.0
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children moderately or severely wasted (number),Batken,under 5 years old,Percent,2.2
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018.",Annual,National,Proportion of children moderately or severely wasted (number),Batken,under 5 years old,Percent,2.3
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children moderately or severely wasted (number),Jalal-Abad,under 5 years old,Percent,7.9
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018.",Annual,National,Proportion of children moderately or severely wasted (number),Jalal-Abad,under 5 years old,Percent,3.8
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children moderately or severely wasted (number),Issyk-Kul,under 5 years old,Percent,1.7
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018.",Annual,National,Proportion of children moderately or severely wasted (number),Issyk-Kul,under 5 years old,Percent,2.1
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children moderately or severely wasted (number),Naryn,under 5 years old,Percent,0.5
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018.",Annual,National,Proportion of children moderately or severely wasted (number),Naryn,under 5 years old,Percent,1.1
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children moderately or severely wasted (number),Osh,under 5 years old,Percent,1.1
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018.",Annual,National,Proportion of children moderately or severely wasted (number),Osh,under 5 years old,Percent,1.6
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children moderately or severely wasted (number),Talas,under 5 years old,Percent,1.0
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018.",Annual,National,Proportion of children moderately or severely wasted (number),Talas,under 5 years old,Percent,2.9
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children moderately or severely wasted (number),Chui,under 5 years old,Percent,1.5
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018.",Annual,National,Proportion of children moderately or severely wasted (number),Chui,under 5 years old,Percent,1.5
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children moderately or severely wasted (number),Bishkek (city),under 5 years old,Percent,2.1
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018.",Annual,National,Proportion of children moderately or severely wasted (number),Bishkek (city),under 5 years old,Percent,0.6
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children moderately or severely wasted (number),Osh (city),under 5 years old,Percent,2.4
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018.",Annual,National,Proportion of children moderately or severely wasted (number),Osh (city),under 5 years old,Percent,1.8
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children moderately or severely overweight,Kyrgyzstan,under 5 years old,Percent,7.0
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018.",Annual,National,Proportion of children moderately or severely overweight,Kyrgyzstan,under 5 years old,Percent,6.9
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children moderately or severely overweight,Batken,under 5 years old,Percent,3.4
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018.",Annual,National,Proportion of children moderately or severely overweight,Batken,under 5 years old,Percent,6.9
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children moderately or severely overweight,Jalal-Abad,under 5 years old,Percent,8.7
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018.",Annual,National,Proportion of children moderately or severely overweight,Jalal-Abad,under 5 years old,Percent,8.9
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children moderately or severely overweight,Issyk-Kul,under 5 years old,Percent,7.8
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018.",Annual,National,Proportion of children moderately or severely overweight,Issyk-Kul,under 5 years old,Percent,4.6
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children moderately or severely overweight,Naryn,under 5 years old,Percent,6.2
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018.",Annual,National,Proportion of children moderately or severely overweight,Naryn,under 5 years old,Percent,4.4
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children moderately or severely overweight,Osh,under 5 years old,Percent,4.7
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018.",Annual,National,Proportion of children moderately or severely overweight,Osh,under 5 years old,Percent,5.3
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children moderately or severely overweight,Talas,under 5 years old,Percent,7.3
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018.",Annual,National,Proportion of children moderately or severely overweight,Talas,under 5 years old,Percent,2.9
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children moderately or severely overweight,Chui,under 5 years old,Percent,9.0
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018.",Annual,National,Proportion of children moderately or severely overweight,Chui,under 5 years old,Percent,11.7
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children moderately or severely overweight,Bishkek (city),under 5 years old,Percent,9.5
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018.",Annual,National,Proportion of children moderately or severely overweight,Bishkek (city),under 5 years old,Percent,7.4
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children moderately or severely overweight,Osh (city),under 5 years old,Percent,4.3
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018.",Annual,National,Proportion of children moderately or severely overweight,Osh (city),under 5 years old,Percent,3.3
