Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2007,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Kyrgyzstan,Percent,98.436866
2008,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Kyrgyzstan,Percent,98.483992
2009,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Kyrgyzstan,Percent,98.495642
2010,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Kyrgyzstan,Percent,98.309687
2011,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Kyrgyzstan,Percent,98.622407
2012,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Kyrgyzstan,Percent,98.838817
2013,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Kyrgyzstan,Percent,98.985022
2014,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Kyrgyzstan,Percent,99.176724
2015,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Kyrgyzstan,Percent,99.230049
2016,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Kyrgyzstan,Percent,99.185581
2017,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Kyrgyzstan,Percent,99.3
2018,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Kyrgyzstan,Percent,99.3
2019,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Kyrgyzstan,Percent,99.348833
2007,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Batken,Percent,97.74409
2008,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Batken,Percent,97.474925
2009,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Batken,Percent,98.874508
2010,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Batken,Percent,96.861772
2011,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Batken,Percent,97.13801
2012,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Batken,Percent,98.465778
2013,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Batken,Percent,99.080933
2014,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Batken,Percent,99.356181
2015,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Batken,Percent,99.261631
2016,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Batken,Percent,98.979592
2017,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Batken,Percent,99.2
2018,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Batken,Percent,99.4
2019,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Batken,Percent,99.335614
2007,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Jalal-Abad,Percent,98.959241
2008,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Jalal-Abad,Percent,98.575021
2009,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Jalal-Abad,Percent,98.923445
2010,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Jalal-Abad,Percent,98.940709
2011,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Jalal-Abad,Percent,99.115744
2012,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Jalal-Abad,Percent,99.045346
2013,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Jalal-Abad,Percent,99.080837
2014,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Jalal-Abad,Percent,99.16137
2015,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Jalal-Abad,Percent,99.299119
2016,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Jalal-Abad,Percent,99.265036
2017,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Jalal-Abad,Percent,99.4
2018,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Jalal-Abad,Percent,99.4
2019,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Jalal-Abad,Percent,99.331319
2007,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Issyk-Kul,Percent,99.294245
2008,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Issyk-Kul,Percent,99.008513
2009,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Issyk-Kul,Percent,99.274602
2010,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Issyk-Kul,Percent,99.414531
2011,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Issyk-Kul,Percent,99.463221
2012,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Issyk-Kul,Percent,99.435996
2013,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Issyk-Kul,Percent,99.427262
2014,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Issyk-Kul,Percent,99.451005
2015,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Issyk-Kul,Percent,99.391542
2016,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Issyk-Kul,Percent,99.422551
2017,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Issyk-Kul,Percent,99.5
2018,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Issyk-Kul,Percent,99.5
2019,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Issyk-Kul,Percent,99.485976
2007,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Naryn,Percent,97.720601
2008,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Naryn,Percent,98.116039
2009,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Naryn,Percent,98.275296
2010,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Naryn,Percent,97.822417
2011,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Naryn,Percent,98.680426
2012,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Naryn,Percent,98.696845
2013,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Naryn,Percent,98.717291
2014,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Naryn,Percent,98.817416
2015,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Naryn,Percent,98.774112
2016,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Naryn,Percent,98.787433
2017,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Naryn,Percent,99.0
2018,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Naryn,Percent,99.2
2019,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Naryn,Percent,99.123344
2007,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Osh,Percent,96.877363
2008,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Osh,Percent,97.394325
2009,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Osh,Percent,96.451545
2010,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Osh,Percent,96.52909
2011,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Osh,Percent,97.299639
2012,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Osh,Percent,97.817694
2013,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Osh,Percent,98.222659
2014,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Osh,Percent,98.874035
2015,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Osh,Percent,99.087129
2016,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Osh,Percent,99.070282
2017,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Osh,Percent,99.1
2018,Normal value,Units,Country Data,Annual,National,Proportion of births attended by skilled health personnel,Osh,Percent,99.1
