Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2014,Normal value,Units,Country Data,Annual,National,Number of fellowships provided to Kyrgyzstan for the training of personnel abroad at the expense of the host country within the framework of official intergovernmental and interstate treaties and agreements,Kyrgyzstan,Country: Russian Federation,Number,465
2015,Normal value,Units,Country Data,Annual,National,Number of fellowships provided to Kyrgyzstan for the training of personnel abroad at the expense of the host country within the framework of official intergovernmental and interstate treaties and agreements,Kyrgyzstan,Country: Russian Federation,Number,445
2016,Normal value,Units,Country Data,Annual,National,Number of fellowships provided to Kyrgyzstan for the training of personnel abroad at the expense of the host country within the framework of official intergovernmental and interstate treaties and agreements,Kyrgyzstan,Country: Russian Federation,Number,360
2017,Normal value,Units,Country Data,Annual,National,Number of fellowships provided to Kyrgyzstan for the training of personnel abroad at the expense of the host country within the framework of official intergovernmental and interstate treaties and agreements,Kyrgyzstan,Country: Russian Federation,Number,364
2018,Normal value,Units,Country Data,Annual,National,Number of fellowships provided to Kyrgyzstan for the training of personnel abroad at the expense of the host country within the framework of official intergovernmental and interstate treaties and agreements,Kyrgyzstan,Country: Russian Federation,Number,347
2019,Normal value,Units,Country Data,Annual,National,Number of fellowships provided to Kyrgyzstan for the training of personnel abroad at the expense of the host country within the framework of official intergovernmental and interstate treaties and agreements,Kyrgyzstan,Country: Russian Federation,Number,330
2014,Normal value,Units,Country Data,Annual,National,Number of fellowships provided to Kyrgyzstan for the training of personnel abroad at the expense of the host country within the framework of official intergovernmental and interstate treaties and agreements,Kyrgyzstan,Country: Republic of Belarus ,Number,3
2015,Normal value,Units,Country Data,Annual,National,Number of fellowships provided to Kyrgyzstan for the training of personnel abroad at the expense of the host country within the framework of official intergovernmental and interstate treaties and agreements,Kyrgyzstan,Country: Republic of Belarus ,Number,5
2016,Normal value,Units,Country Data,Annual,National,Number of fellowships provided to Kyrgyzstan for the training of personnel abroad at the expense of the host country within the framework of official intergovernmental and interstate treaties and agreements,Kyrgyzstan,Country: Republic of Belarus ,Number,2
2017,Normal value,Units,Country Data,Annual,National,Number of fellowships provided to Kyrgyzstan for the training of personnel abroad at the expense of the host country within the framework of official intergovernmental and interstate treaties and agreements,Kyrgyzstan,Country: Republic of Belarus ,Number,5
2018,Normal value,Units,Country Data,Annual,National,Number of fellowships provided to Kyrgyzstan for the training of personnel abroad at the expense of the host country within the framework of official intergovernmental and interstate treaties and agreements,Kyrgyzstan,Country: Republic of Belarus ,Number,2
2014,Normal value,Units,Country Data,Annual,National,Number of fellowships provided to Kyrgyzstan for the training of personnel abroad at the expense of the host country within the framework of official intergovernmental and interstate treaties and agreements,Kyrgyzstan,Country: Republic of Kazakhstan,Number,1
2015,Normal value,Units,Country Data,Annual,National,Number of fellowships provided to Kyrgyzstan for the training of personnel abroad at the expense of the host country within the framework of official intergovernmental and interstate treaties and agreements,Kyrgyzstan,Country: Republic of Kazakhstan,Number,5
2016,Normal value,Units,Country Data,Annual,National,Number of fellowships provided to Kyrgyzstan for the training of personnel abroad at the expense of the host country within the framework of official intergovernmental and interstate treaties and agreements,Kyrgyzstan,Country: Republic of Kazakhstan,Number,5
