Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,UNIT_MEASURE,Time series-level footnotes,Value
2010,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Kyrgyzstan,,Percent,,7.8
2011,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Kyrgyzstan,,Percent,,7.6
2012,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Kyrgyzstan,,Percent,,7.6
2013,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Kyrgyzstan,,Percent,,6.9
2014,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Kyrgyzstan,,Percent,,6.9
2015,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Kyrgyzstan,,Percent,,7.4
2016,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Kyrgyzstan,,Percent,,7.6
2017,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Kyrgyzstan,,Percent,,10.1
2018,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Kyrgyzstan,,Percent,,12.0
2019,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Kyrgyzstan,,Percent,,11.8
2010,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Batken,,Percent,,6.4
2011,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Batken,,Percent,,6.4
2012,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Batken,,Percent,,5.7
2013,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Batken,,Percent,,3.1
2014,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Batken,,Percent,,3.0
2015,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Batken,,Percent,,2.3
2016,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Batken,,Percent,,2.4
2017,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Batken,,Percent,,4.5
2018,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Batken,,Percent,,6.9
2019,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Batken,,Percent,,13.2
2010,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Jalal-Abad,,Percent,,3.1
2011,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Jalal-Abad,,Percent,,3.3
2012,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Jalal-Abad,,Percent,,4.3
2013,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Jalal-Abad,,Percent,,5.1
2014,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Jalal-Abad,,Percent,,5.3
2015,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Jalal-Abad,,Percent,,5.5
2016,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Jalal-Abad,,Percent,,5.4
2017,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Jalal-Abad,,Percent,,8.9
2018,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Jalal-Abad,,Percent,,15.3
2019,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Jalal-Abad,,Percent,,11.0
2010,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Issyk-Kul,,Percent,,3.2
2011,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Issyk-Kul,,Percent,,3.7
2012,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Issyk-Kul,,Percent,,4.1
2013,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Issyk-Kul,,Percent,,4.1
2014,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Issyk-Kul,,Percent,,4.2
2015,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Issyk-Kul,,Percent,,4.7
2016,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Issyk-Kul,,Percent,,5.3
2017,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Issyk-Kul,,Percent,,6.4
2018,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Issyk-Kul,,Percent,,8.2
2019,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Issyk-Kul,,Percent,,10.6
2010,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Naryn,,Percent,,2.4
2011,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Naryn,,Percent,,1.6
2012,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Naryn,,Percent,,1.6
2013,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Naryn,,Percent,,1.4
2014,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Naryn,,Percent,,0.9
2015,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Naryn,,Percent,,1.1
2016,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Naryn,,Percent,,1.4
2017,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Naryn,,Percent,,2.3
2018,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Naryn,,Percent,,3.9
2019,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Naryn,,Percent,,4.1
2010,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Osh,,Percent,Until 2013 - including Osh.,6.3
2011,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Osh,,Percent,Until 2013 - including Osh.,5.9
2012,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Osh,,Percent,Until 2013 - including Osh.,5.4
2013,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Osh,,Percent,Until 2013 - including Osh.,2.7
2014,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Osh,,Percent,,2.8
2015,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Osh,,Percent,,3.4
2016,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Osh,,Percent,,3.3
2017,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Osh,,Percent,,4.7
2018,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Osh,,Percent,,6.7
2019,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Osh,,Percent,,5.5
2010,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Talas,,Percent,,2.6
2011,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Talas,,Percent,,3.0
2012,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Talas,,Percent,,3.1
2013,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Talas,,Percent,,3.0
2014,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Talas,,Percent,,2.2
2015,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Talas,,Percent,,1.9
2016,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Talas,,Percent,,2.1
2017,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Talas,,Percent,,3.6
2018,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Talas,,Percent,,3.8
2019,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Talas,,Percent,,3.2
2010,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Chui,,Percent,,14.3
2011,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Chui,,Percent,,14.3
2012,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Chui,,Percent,,14.8
2013,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Chui,,Percent,,13.7
2014,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Chui,,Percent,,13.7
2015,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Chui,,Percent,,15.1
2016,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Chui,,Percent,,16.0
2017,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Chui,,Percent,,21.6
