Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2010,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,,Kilograms,153.6
2011,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,,Kilograms,212.4
2012,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,,Kilograms,217.7
2013,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,,Kilograms,225.5
2014,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,,Kilograms,302.6
2015,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,,Kilograms,304.9
2016,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,,Kilograms,264.3
2017,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,,Kilograms,248.2
2018,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,,Kilograms,283.6
2019,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,,Kilograms,251.6
2010,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Solid,Kilograms,74.5
2011,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Solid,Kilograms,90.6
2012,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Solid,Kilograms,90.9
2013,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Solid,Kilograms,80.0
2014,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Solid,Kilograms,112.7
2015,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Solid,Kilograms,121.8
2016,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Solid,Kilograms,101.3
2017,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Solid,Kilograms,126.1
2018,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Solid,Kilograms,91.0
2019,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Solid,Kilograms,76.5
2010,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Gaseous and liquid,Kilograms,79.0
2011,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Gaseous and liquid,Kilograms,121.8
2012,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Gaseous and liquid,Kilograms,126.8
2013,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Gaseous and liquid,Kilograms,145.6
2014,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Gaseous and liquid,Kilograms,189.9
2015,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Gaseous and liquid,Kilograms,183.1
2016,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Gaseous and liquid,Kilograms,163.0
2017,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Gaseous and liquid,Kilograms,122.1
2018,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Gaseous and liquid,Kilograms,192.6
2019,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Gaseous and liquid,Kilograms,175.1
2010,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Sulphur dioxide,Kilograms,39.5
2011,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Sulphur dioxide,Kilograms,47.0
2012,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Sulphur dioxide,Kilograms,27.1
2013,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Sulphur dioxide,Kilograms,63.1
2014,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Sulphur dioxide,Kilograms,92.3
2015,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Sulphur dioxide,Kilograms,95.4
2016,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Sulphur dioxide,Kilograms,80.6
2017,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Sulphur dioxide,Kilograms,39.0
2018,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Sulphur dioxide,Kilograms,90.3
2019,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Sulphur dioxide,Kilograms,75.5
2010,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Carbon monoxide,Kilograms,17.0
2011,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Carbon monoxide,Kilograms,48.4
2012,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Carbon monoxide,Kilograms,49.8
2013,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Carbon monoxide,Kilograms,52.3
2014,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Carbon monoxide,Kilograms,61.5
2015,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Carbon monoxide,Kilograms,49.9
2016,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Carbon monoxide,Kilograms,47.1
2017,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Carbon monoxide,Kilograms,47.1
