Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2011,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Kyrgyzstan,Percent,5.6
2012,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Kyrgyzstan,Percent,5.6
2013,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Kyrgyzstan,Percent,5.6
2014,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Kyrgyzstan,Percent,5.7
2015,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Kyrgyzstan,Percent,5.7
2016,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Kyrgyzstan,Percent,5.7
2017,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Kyrgyzstan,Percent,5.6
2018,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Kyrgyzstan,Percent,5.6
2019,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Kyrgyzstan,Percent,5.6
2011,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Batken,Percent,9.8
2012,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Batken,Percent,1.0
2013,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Batken,Percent,1.0
2014,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Batken,Percent,9.8
2015,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Batken,Percent,9.8
2016,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Batken,Percent,9.8
2017,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Batken,Percent,0.8
2018,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Batken,Percent,0.8
2019,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Batken,Percent,0.8
2011,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Jalal-Abad,Percent,4.1
2012,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Jalal-Abad,Percent,2.0
2013,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Jalal-Abad,Percent,2.0
2014,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Jalal-Abad,Percent,12.0
2015,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Jalal-Abad,Percent,12.0
2016,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Jalal-Abad,Percent,12.0
2017,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Jalal-Abad,Percent,2.0
2018,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Jalal-Abad,Percent,1.9
2019,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Jalal-Abad,Percent,1.9
2011,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Issyk-Kul,Percent,3.2
2012,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Issyk-Kul,Percent,0.6
2013,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Issyk-Kul,Percent,0.6
2014,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Issyk-Kul,Percent,3.3
2015,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Issyk-Kul,Percent,3.3
2016,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Issyk-Kul,Percent,3.3
2017,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Issyk-Kul,Percent,0.7
2018,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Issyk-Kul,Percent,0.7
2019,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Issyk-Kul,Percent,0.7
2011,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Naryn,Percent,3.1
2012,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Naryn,Percent,0.6
2013,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Naryn,Percent,0.6
2014,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Naryn,Percent,3.0
2015,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Naryn,Percent,3.0
2016,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Naryn,Percent,3.0
2017,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Naryn,Percent,0.7
2018,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Naryn,Percent,0.7
2019,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Naryn,Percent,0.7
2011,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Osh,Percent,6.4
2012,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Osh,Percent,0.8
2013,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Osh,Percent,0.8
2014,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Osh,Percent,6.6
2015,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Osh,Percent,6.6
2016,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Osh,Percent,6.6
2017,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Osh,Percent,0.9
2018,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Osh,Percent,0.9
2019,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Osh,Percent,0.9
2011,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Talas,Percent,4.5
2012,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Talas,Percent,0.3
2013,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Talas,Percent,0.3
2014,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Talas,Percent,4.5
2015,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Talas,Percent,4.5
2016,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Talas,Percent,4.5
2017,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Talas,Percent,0.3
2018,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Talas,Percent,0.3
2019,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Talas,Percent,0.3
2011,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Chui,Percent,2.2
2012,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Chui,Percent,0.2
2013,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Chui,Percent,0.2
2014,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Chui,Percent,2.3
2015,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Chui,Percent,2.3
2016,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Chui,Percent,2.3
2017,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Chui,Percent,0.2
2018,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Chui,Percent,0.2
2019,Normal value,Units,Country Data,Annual,National,Forest area as a proportion of total country area,Chui,Percent,0.2
