Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2013,Normal value,Units,Country Data,Annual,National,Proportion of wild animals from all species of corresponding class that are under of poaching or illegal trafficking ,Kyrgyzstan,Species: Mammals,Percent,14.3
2014,Normal value,Units,Country Data,Annual,National,Proportion of wild animals from all species of corresponding class that are under of poaching or illegal trafficking ,Kyrgyzstan,Species: Mammals,Percent,15.4
2015,Normal value,Units,Country Data,Annual,National,Proportion of wild animals from all species of corresponding class that are under of poaching or illegal trafficking ,Kyrgyzstan,Species: Mammals,Percent,12.1
2016,Normal value,Units,Country Data,Annual,National,Proportion of wild animals from all species of corresponding class that are under of poaching or illegal trafficking ,Kyrgyzstan,Species: Mammals,Percent,14.3
2017,Normal value,Units,Country Data,Annual,National,Proportion of wild animals from all species of corresponding class that are under of poaching or illegal trafficking ,Kyrgyzstan,Species: Mammals,Percent,9.9
2018,Normal value,Units,Country Data,Annual,National,Proportion of wild animals from all species of corresponding class that are under of poaching or illegal trafficking ,Kyrgyzstan,Species: Mammals,Percent,9.9
2019,Normal value,Units,Country Data,Annual,National,Proportion of wild animals from all species of corresponding class that are under of poaching or illegal trafficking ,Kyrgyzstan,Species: Mammals,Percent,4.4
2013,Normal value,Units,Country Data,Annual,National,Proportion of wild animals from all species of corresponding class that are under of poaching or illegal trafficking ,Kyrgyzstan,Species: Birds,Percent,2.0
2014,Normal value,Units,Country Data,Annual,National,Proportion of wild animals from all species of corresponding class that are under of poaching or illegal trafficking ,Kyrgyzstan,Species: Birds,Percent,3.7
2015,Normal value,Units,Country Data,Annual,National,Proportion of wild animals from all species of corresponding class that are under of poaching or illegal trafficking ,Kyrgyzstan,Species: Birds,Percent,3.7
2016,Normal value,Units,Country Data,Annual,National,Proportion of wild animals from all species of corresponding class that are under of poaching or illegal trafficking ,Kyrgyzstan,Species: Birds,Percent,2.2
2017,Normal value,Units,Country Data,Annual,National,Proportion of wild animals from all species of corresponding class that are under of poaching or illegal trafficking ,Kyrgyzstan,Species: Birds,Percent,2.7
2018,Normal value,Units,Country Data,Annual,National,Proportion of wild animals from all species of corresponding class that are under of poaching or illegal trafficking ,Kyrgyzstan,Species: Birds,Percent,2.5
2019,Normal value,Units,Country Data,Annual,National,Proportion of wild animals from all species of corresponding class that are under of poaching or illegal trafficking ,Kyrgyzstan,Species: Birds,Percent,1.72
2013,Normal value,Units,Country Data,Annual,National,Proportion of wild animals from all species of corresponding class that are under of poaching or illegal trafficking ,Kyrgyzstan,Species: Amphibians and Reptiles,Percent,8.7
2015,Normal value,Units,Country Data,Annual,National,Proportion of wild animals from all species of corresponding class that are under of poaching or illegal trafficking ,Kyrgyzstan,Species: Amphibians and Reptiles,Percent,2.2
2016,Normal value,Units,Country Data,Annual,National,Proportion of wild animals from all species of corresponding class that are under of poaching or illegal trafficking ,Kyrgyzstan,Species: Amphibians and Reptiles,Percent,2.2
2018,Normal value,Units,Country Data,Annual,National,Proportion of wild animals from all species of corresponding class that are under of poaching or illegal trafficking ,Kyrgyzstan,Species: Amphibians and Reptiles,Percent,2.2
