Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2010,Normal value,Units,Country Data,Annual,National,Detected victims of human trafficking (number),Kyrgyzstan,Number,21
2011,Normal value,Units,Country Data,Annual,National,Detected victims of human trafficking (number),Kyrgyzstan,Number,5
2012,Normal value,Units,Country Data,Annual,National,Detected victims of human trafficking (number),Kyrgyzstan,Number,6
2013,Normal value,Units,Country Data,Annual,National,Detected victims of human trafficking (number),Kyrgyzstan,Number,9
2014,Normal value,Units,Country Data,Annual,National,Detected victims of human trafficking (number),Kyrgyzstan,Number,19
2015,Normal value,Units,Country Data,Annual,National,Detected victims of human trafficking (number),Kyrgyzstan,Number,8
2016,Normal value,Units,Country Data,Annual,National,Detected victims of human trafficking (number),Kyrgyzstan,Number,10
2017,Normal value,Units,Country Data,Annual,National,Detected victims of human trafficking (number),Kyrgyzstan,Number,5
2018,Normal value,Units,Country Data,Annual,National,Detected victims of human trafficking (number),Kyrgyzstan,Number,8
2019,Normal value,Units,Country Data,Annual,National,Detected victims of human trafficking (number),Kyrgyzstan,Number,5
