Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Type of product,UNIT_MEASURE,Value
2010,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,"Meat and meat products in meat equivalent, including bacon and offal",Percent,63.132137
2011,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,"Meat and meat products in meat equivalent, including bacon and offal",Percent,63.132137
2012,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,"Meat and meat products in meat equivalent, including bacon and offal",Percent,60.195759
2013,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,"Meat and meat products in meat equivalent, including bacon and offal",Percent,55.138662
2014,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,"Meat and meat products in meat equivalent, including bacon and offal",Percent,56.443719
2015,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,"Meat and meat products in meat equivalent, including bacon and offal",Percent,64.600326
2016,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,"Meat and meat products in meat equivalent, including bacon and offal",Percent,63.132137
2017,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,"Meat and meat products in meat equivalent, including bacon and offal",Percent,62.805873
2018,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,"Meat and meat products in meat equivalent, including bacon and offal",Percent,65.742251
2019,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,"Meat and meat products in meat equivalent, including bacon and offal",Percent,69.168026
