Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Age,Degree of urbanisation,UNIT_MEASURE,Value
2013,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Kyrgyzstan,1 to 6 years old,,Percent,17.5
2014,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Kyrgyzstan,1 to 6 years old,,Percent,19.5
2015,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Kyrgyzstan,1 to 6 years old,,Percent,19.9
2016,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Kyrgyzstan,1 to 6 years old,,Percent,22.1
2017,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Kyrgyzstan,1 to 6 years old,,Percent,23.5
2018,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Kyrgyzstan,1 to 6 years old,,Percent,24.6
2019,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Kyrgyzstan,1 to 6 years old,,Percent,25.4
2013,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Kyrgyzstan,1 to 6 years old,Urban,Percent,31.6
2014,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Kyrgyzstan,1 to 6 years old,Urban,Percent,32.3
2015,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Kyrgyzstan,1 to 6 years old,Urban,Percent,31.1
2016,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Kyrgyzstan,1 to 6 years old,Urban,Percent,32.3
2017,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Kyrgyzstan,1 to 6 years old,Urban,Percent,34.2
2018,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Kyrgyzstan,1 to 6 years old,Urban,Percent,34.6
2019,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Kyrgyzstan,1 to 6 years old,Urban,Percent,34.5
2013,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Kyrgyzstan,1 to 6 years old,Rural,Percent,10.8
2014,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Kyrgyzstan,1 to 6 years old,Rural,Percent,13.2
2015,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Kyrgyzstan,1 to 6 years old,Rural,Percent,14.2
2016,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Kyrgyzstan,1 to 6 years old,Rural,Percent,16.6
2017,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Kyrgyzstan,1 to 6 years old,Rural,Percent,17.9
2018,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Kyrgyzstan,1 to 6 years old,Rural,Percent,19.3
2019,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Kyrgyzstan,1 to 6 years old,Rural,Percent,20.6
2013,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Batken,1 to 6 years old,,Percent,16.1
2014,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Batken,1 to 6 years old,,Percent,19.6
2015,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Batken,1 to 6 years old,,Percent,20.6
2016,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Batken,1 to 6 years old,,Percent,23.9
2017,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Batken,1 to 6 years old,,Percent,25.8
2018,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Batken,1 to 6 years old,,Percent,26.3
2019,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Batken,1 to 6 years old,,Percent,28.5
2013,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Batken,1 to 6 years old,Urban,Percent,33.3
2014,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Batken,1 to 6 years old,Urban,Percent,33.1
2015,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Batken,1 to 6 years old,Urban,Percent,30.5
2016,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Batken,1 to 6 years old,Urban,Percent,32.8
2017,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Batken,1 to 6 years old,Urban,Percent,33.2
2018,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Batken,1 to 6 years old,Urban,Percent,34.0
2019,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Batken,1 to 6 years old,Urban,Percent,42.7
2013,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Batken,1 to 6 years old,Rural,Percent,10.2
2014,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Batken,1 to 6 years old,Rural,Percent,14.6
2015,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Batken,1 to 6 years old,Rural,Percent,16.7
2016,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Batken,1 to 6 years old,Rural,Percent,20.5
2017,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Batken,1 to 6 years old,Rural,Percent,23.0
2018,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Batken,1 to 6 years old,Rural,Percent,23.3
2019,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Batken,1 to 6 years old,Rural,Percent,23.8
2013,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Jalal-Abad,1 to 6 years old,,Percent,15.2
2014,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Jalal-Abad,1 to 6 years old,,Percent,15.5
2015,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Jalal-Abad,1 to 6 years old,,Percent,16.1
2016,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Jalal-Abad,1 to 6 years old,,Percent,18.7
2017,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Jalal-Abad,1 to 6 years old,,Percent,20.2
2018,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Jalal-Abad,1 to 6 years old,,Percent,21.8
2019,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Jalal-Abad,1 to 6 years old,,Percent,23.0
2013,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Jalal-Abad,1 to 6 years old,Urban,Percent,27.4
2014,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Jalal-Abad,1 to 6 years old,Urban,Percent,28.5
2015,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Jalal-Abad,1 to 6 years old,Urban,Percent,28.4
2016,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Jalal-Abad,1 to 6 years old,Urban,Percent,30.6
2017,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Jalal-Abad,1 to 6 years old,Urban,Percent,32.8
2018,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Jalal-Abad,1 to 6 years old,Urban,Percent,35.0
2019,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Jalal-Abad,1 to 6 years old,Urban,Percent,37.8
2013,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Jalal-Abad,1 to 6 years old,Rural,Percent,10.3
2014,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Jalal-Abad,1 to 6 years old,Rural,Percent,11.8
