Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2007,Normal value,Units,Country Data,Annual,National,Proportion of seats held by women in national parliaments (% of total number of seats),Kyrgyzstan,Female,Percent,25.6
2008,Normal value,Units,Country Data,Annual,National,Proportion of seats held by women in national parliaments (% of total number of seats),Kyrgyzstan,Female,Percent,25.6
2009,Normal value,Units,Country Data,Annual,National,Proportion of seats held by women in national parliaments (% of total number of seats),Kyrgyzstan,Female,Percent,25.6
2010,Normal value,Units,Country Data,Annual,National,Proportion of seats held by women in national parliaments (% of total number of seats),Kyrgyzstan,Female,Percent,23.5
2011,Normal value,Units,Country Data,Annual,National,Proportion of seats held by women in national parliaments (% of total number of seats),Kyrgyzstan,Female,Percent,20.8
2012,Normal value,Units,Country Data,Annual,National,Proportion of seats held by women in national parliaments (% of total number of seats),Kyrgyzstan,Female,Percent,20.8
2013,Normal value,Units,Country Data,Annual,National,Proportion of seats held by women in national parliaments (% of total number of seats),Kyrgyzstan,Female,Percent,22.5
2014,Normal value,Units,Country Data,Annual,National,Proportion of seats held by women in national parliaments (% of total number of seats),Kyrgyzstan,Female,Percent,21.7
2015,Normal value,Units,Country Data,Annual,National,Proportion of seats held by women in national parliaments (% of total number of seats),Kyrgyzstan,Female,Percent,21.7
2016,Normal value,Units,Country Data,Annual,National,Proportion of seats held by women in national parliaments (% of total number of seats),Kyrgyzstan,Female,Percent,15.8
2017,Normal value,Units,Country Data,Annual,National,Proportion of seats held by women in national parliaments (% of total number of seats),Kyrgyzstan,Female,Percent,16.7
2018,Normal value,Units,Country Data,Annual,National,Proportion of seats held by women in national parliaments (% of total number of seats),Kyrgyzstan,Female,Percent,15.8
2019,Normal value,Units,Country Data,Annual,National,Proportion of seats held by women in national parliaments (% of total number of seats),Kyrgyzstan,Female,Percent,16.7
