Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2007,Normal value,Units,Country Data,Annual,National,Energy intensity of GDP by industry,Kyrgyzstan,Tons of coal equivalent per 1mn som,78.2
2008,Normal value,Units,Country Data,Annual,National,Energy intensity of GDP by industry,Kyrgyzstan,Tons of coal equivalent per 1mn som,54.3
2009,Normal value,Units,Country Data,Annual,National,Energy intensity of GDP by industry,Kyrgyzstan,Tons of coal equivalent per 1mn som,48.7
2010,Normal value,Units,Country Data,Annual,National,Energy intensity of GDP by industry,Kyrgyzstan,Tons of coal equivalent per 1mn som,45.5
2011,Normal value,Units,Country Data,Annual,National,Energy intensity of GDP by industry,Kyrgyzstan,Tons of coal equivalent per 1mn som,42.0
2012,Normal value,Units,Country Data,Annual,National,Energy intensity of GDP by industry,Kyrgyzstan,Tons of coal equivalent per 1mn som,35.3
2013,Normal value,Units,Country Data,Annual,National,Energy intensity of GDP by industry,Kyrgyzstan,Tons of coal equivalent per 1mn som,31.4
2014,Normal value,Units,Country Data,Annual,National,Energy intensity of GDP by industry,Kyrgyzstan,Tons of coal equivalent per 1mn som,26.1
2015,Normal value,Units,Country Data,Annual,National,Energy intensity of GDP by industry,Kyrgyzstan,Tons of coal equivalent per 1mn som,26.7
2016,Normal value,Units,Country Data,Annual,National,Energy intensity of GDP by industry,Kyrgyzstan,Tons of coal equivalent per 1mn som,22.0
2017,Normal value,Units,Country Data,Annual,National,Energy intensity of GDP by industry,Kyrgyzstan,Tons of coal equivalent per 1mn som,25.3
2018,Normal value,Units,Country Data,Annual,National,Energy intensity of GDP by industry,Kyrgyzstan,Tons of coal equivalent per 1mn som,25.5
2019,Normal value,Units,Country Data,Annual,National,Energy intensity of GDP by industry,Kyrgyzstan,Tons of coal equivalent per 1mn som,21.6
