Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,Value
2007,A,0,C,A,N,SI_HEI_TOTL,KG,B40,PT,136.8
2008,A,0,C,A,N,SI_HEI_TOTL,KG,B40,PT,152.4
2009,A,0,C,A,N,SI_HEI_TOTL,KG,B40,PT,114.4
2010,A,0,C,A,N,SI_HEI_TOTL,KG,B40,PT,106.2
2011,A,0,C,A,N,SI_HEI_TOTL,KG,B40,PT,123.9
2012,A,0,C,A,N,SI_HEI_TOTL,KG,B40,PT,109.0
2013,A,0,C,A,N,SI_HEI_TOTL,KG,B40,PT,95.6
2014,A,0,C,A,N,SI_HEI_TOTL,KG,B40,PT,123.7
2015,A,0,C,A,N,SI_HEI_TOTL,KG,B40,PT,102.2
2016,A,0,C,A,N,SI_HEI_TOTL,KG,B40,PT,106.2
2017,A,0,C,A,N,SI_HEI_TOTL,KG,B40,PT,113.0
2018,A,0,C,A,N,SI_HEI_TOTL,KG,B40,PT,110.0
2019,A,0,C,A,N,SI_HEI_TOTL,KG,B40,PT,108.0
2007,A,0,C,A,N,SI_HEI_TOTL,KG,,PT,127.5
2008,A,0,C,A,N,SI_HEI_TOTL,KG,,PT,143.1
2009,A,0,C,A,N,SI_HEI_TOTL,KG,,PT,114.0
2010,A,0,C,A,N,SI_HEI_TOTL,KG,,PT,107.9
2011,A,0,C,A,N,SI_HEI_TOTL,KG,,PT,117.7
2012,A,0,C,A,N,SI_HEI_TOTL,KG,,PT,109.5
2013,A,0,C,A,N,SI_HEI_TOTL,KG,,PT,101.6
2014,A,0,C,A,N,SI_HEI_TOTL,KG,,PT,121.2
2015,A,0,C,A,N,SI_HEI_TOTL,KG,,PT,103.0
2016,A,0,C,A,N,SI_HEI_TOTL,KG,,PT,104.5
2017,A,0,C,A,N,SI_HEI_TOTL,KG,,PT,111.3
2018,A,0,C,A,N,SI_HEI_TOTL,KG,,PT,112.6
2019,A,0,C,A,N,SI_HEI_TOTL,KG,,PT,106.5
