Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2007,A,0,C,A,N,_L_KG_100301_1A1,KG,NUMBER,3014
2008,A,0,C,A,N,_L_KG_100301_1A1,KG,NUMBER,2136
2009,A,0,C,A,N,_L_KG_100301_1A1,KG,NUMBER,1742
2010,A,0,C,A,N,_L_KG_100301_1A1,KG,NUMBER,1862
2011,A,0,C,A,N,_L_KG_100301_1A1,KG,NUMBER,2098
2012,A,0,C,A,N,_L_KG_100301_1A1,KG,NUMBER,2843
2013,A,0,C,A,N,_L_KG_100301_1A1,KG,NUMBER,2466
2014,A,0,C,A,N,_L_KG_100301_1A1,KG,NUMBER,2411
2015,A,0,C,A,N,_L_KG_100301_1A1,KG,NUMBER,2483
2016,A,0,C,A,N,_L_KG_100301_1A1,KG,NUMBER,3800
2017,A,0,C,A,N,_L_KG_100301_1A1,KG,NUMBER,3242
2018,A,0,C,A,N,_L_KG_100301_1A1,KG,NUMBER,3237
2007,A,0,C,A,N,_L_KG_100301_1A2,KG,NUMBER,619
2010,A,0,C,A,N,_L_KG_100301_1A2,KG,NUMBER,309
2011,A,0,C,A,N,_L_KG_100301_1A2,KG,NUMBER,196
2012,A,0,C,A,N,_L_KG_100301_1A2,KG,NUMBER,501
2013,A,0,C,A,N,_L_KG_100301_1A2,KG,NUMBER,384
2015,A,0,C,A,N,_L_KG_100301_1A2,KG,NUMBER,374
2016,A,0,C,A,N,_L_KG_100301_1A2,KG,NUMBER,615
2017,A,0,C,A,N,_L_KG_100301_1A2,KG,NUMBER,531
2018,A,0,C,A,N,_L_KG_100301_1A2,KG,NUMBER,376
