Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,UNIT_MEASURE,Value
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG,,,,,,PT,57.9
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG,,,,,,PT,64.4
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG,,,U,,,PT,50.7
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG,,,U,,,PT,59.6
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG,,,R,,,PT,62.8
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG,,,R,,,PT,67.5
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG,M,,,,,PT,67.4
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG,M,,,,,PT,72.7
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG,F,,,,,PT,44.7
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG,F,,,,,PT,52.5
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG05,,,,,,PT,63.7
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG05,,,,,,PT,71.6
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG03,,,,,,PT,46.2
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG03,,,,,,PT,54.2
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG02,,,,,,PT,69.3
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG02,,,,,,PT,72.7
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG04,,,,,,PT,71.9
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG04,,,,,,PT,78.3
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG06,,,,,,PT,70.4
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG06,,,,,,PT,73.8
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG07,,,,,,PT,73.3
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG07,,,,,,PT,88.2
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG08,,,,,,PT,69.3
