Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG,IX,23.470187
2016,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG,IX,28.487981
2017,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG,IX,31.143928
2018,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG,IX,27.299499
2019,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG,IX,28.931149
2015,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG05,IX,29.364645
2016,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG05,IX,47.911855
2017,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG05,IX,46.221681
2018,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG05,IX,42.644557
2019,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG05,IX,38.677928
2015,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG03,IX,43.58955
2016,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG03,IX,37.24933
2017,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG03,IX,35.4
2018,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG03,IX,32.708436
2019,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG03,IX,34.657679
2015,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG02,IX,-1.504559
2016,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG02,IX,16.638283
