Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2012,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1A,KG,,PT,30
2013,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1A,KG,,PT,49
2014,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1A,KG,,PT,31
2015,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1A,KG,,PT,44
2016,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1A,KG,,PT,45
2017,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1A,KG,,PT,16
2018,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1A,KG,,PT,13
2019,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1A,KG,,PT,12
2012,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1A,KG,M,PT,39
2013,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1A,KG,M,PT,61
2014,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1A,KG,M,PT,57
2015,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1A,KG,M,PT,57
2016,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1A,KG,M,PT,59
2017,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1A,KG,M,PT,23
2018,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1A,KG,M,PT,20
2019,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1A,KG,M,PT,17
2012,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1A,KG,F,PT,16
2013,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1A,KG,F,PT,31
2014,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1A,KG,F,PT,26
2015,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1A,KG,F,PT,25
2016,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1A,KG,F,PT,26
2017,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1A,KG,F,PT,5
2018,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1A,KG,F,PT,4
2019,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1A,KG,F,PT,4
2012,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1B,KG,,PT,24
2013,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1B,KG,,PT,13
2014,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1B,KG,,PT,9
2015,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1B,KG,,PT,22
2016,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1B,KG,,PT,26
2017,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1B,KG,,PT,27
2018,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1B,KG,,PT,26
2019,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1B,KG,,PT,33
2012,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1B,KG,M,PT,27
2013,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1B,KG,M,PT,16
2014,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1B,KG,M,PT,22
2015,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1B,KG,M,PT,26
2016,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1B,KG,M,PT,28
2017,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1B,KG,M,PT,28
2018,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1B,KG,M,PT,27
2019,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1B,KG,M,PT,39
2012,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1B,KG,F,PT,20
2013,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1B,KG,F,PT,9
2014,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1B,KG,F,PT,17
2015,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1B,KG,F,PT,17
2016,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1B,KG,F,PT,23
2017,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1B,KG,F,PT,24
2018,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1B,KG,F,PT,25
2019,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1B,KG,F,PT,25
2012,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1C,KG,,PT,946
2013,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1C,KG,,PT,938
2014,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1C,KG,,PT,960
2015,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1C,KG,,PT,934
2016,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1C,KG,,PT,928
2017,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1C,KG,,PT,958
2018,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1C,KG,,PT,961
2019,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1C,KG,,PT,955
2012,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1C,KG,M,PT,933
2013,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1C,KG,M,PT,923
2014,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1C,KG,M,PT,922
2015,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1C,KG,M,PT,917
2016,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1C,KG,M,PT,913
2017,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1C,KG,M,PT,948
2018,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1C,KG,M,PT,954
2019,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1C,KG,M,PT,944
2012,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1C,KG,F,PT,964
2013,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1C,KG,F,PT,960
2014,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1C,KG,F,PT,957
2015,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1C,KG,F,PT,958
2016,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1C,KG,F,PT,951
2017,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1C,KG,F,PT,971
2018,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1C,KG,F,PT,972
2019,A,0,C,"*Without government bodies providing defense, public order and security",A,N,_L_KG_160701_1C,KG,F,PT,972
