Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,DISABILITY_STATUS,UNIT_MEASURE,COMMENT_OBS,Value
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SG_REG_BRTH,KG,,Y0T4,,,,,PT,,98.9
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SG_REG_BRTH,KG,M,Y0T4,,,,,PT,,99.5
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SG_REG_BRTH,KG,F,Y0T4,,,,,PT,,98.4
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SG_REG_BRTH,KG,,Y0T4,U,,,,PT,,99.1
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SG_REG_BRTH,KG,,Y0T4,R,,,,PT,,98.9
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SG_REG_BRTH,KG05,,Y0T4,,,,,PT,,99.7
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SG_REG_BRTH,KG03,,Y0T4,,,,,PT,,99.4
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SG_REG_BRTH,KG02,,Y0T4,,,,,PT,,99.8
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SG_REG_BRTH,KG04,,Y0T4,,,,,PT,,99.3
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SG_REG_BRTH,KG06,,Y0T4,,,,,PT,,99.3
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SG_REG_BRTH,KG07,,Y0T4,,,,,PT,,99.5
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SG_REG_BRTH,KG08,,Y0T4,,,,,PT,,96.8
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SG_REG_BRTH,KG11,,Y0T4,,,,,PT,,99.2
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SG_REG_BRTH,KG21,,Y0T4,,,,,PT,,97.5
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SG_REG_BRTH,KG,,Y0,,,,,PT,,96.9
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SG_REG_BRTH,KG,,M12T23,,,,,PT,,98.8
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SG_REG_BRTH,KG,,M24T35,,,,,PT,,99.2
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SG_REG_BRTH,KG,,Y3T4,,,,,PT,,99.9
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SG_REG_BRTH,KG,,M48T59,,,,,PT,,99.8
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SG_REG_BRTH,KG,,Y0T4,,,ISCED11_2,,PT,Education of mother,98.1
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SG_REG_BRTH,KG,,Y0T4,,,ISCED11_3,,PT,Education of mother,98.8
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SG_REG_BRTH,KG,,Y0T4,,,ISCED11_4,,PT,Education of mother,98.8
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SG_REG_BRTH,KG,,Y0T4,,,ISCED11_6_7,,PT,Education of mother,99.5
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SG_REG_BRTH,KG,,Y0T4,,,,_L_CHD,PT,,100.0
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SG_REG_BRTH,KG,,Y0T4,,,,_L_CHWD,PT,,99.6
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SG_REG_BRTH,KG,,Y18T49,,,,_L_MD,PT,,97.7
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SG_REG_BRTH,KG,,Y18T49,,,,_L_MWD,PT,,98.9
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SG_REG_BRTH,KG,,Y18T49,,,,_U,PT,,100.0
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SG_REG_BRTH,KG,,Y0T4,,Q1,,,PT,,99.0
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SG_REG_BRTH,KG,,Y0T4,,Q2,,,PT,,98.4
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SG_REG_BRTH,KG,,Y0T4,,Q3,,,PT,,98.8
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SG_REG_BRTH,KG,,Y0T4,,Q4,,,PT,,99.1
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SG_REG_BRTH,KG,,Y0T4,,Q5,,,PT,,99.6
