Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,Value
2008,A,0,C,A,N,_L_KG_170301_1A,KG,,PER_1000_USD,866200.6
2009,A,0,C,A,N,_L_KG_170301_1A,KG,,PER_1000_USD,660949.3
2010,A,0,C,A,N,_L_KG_170301_1A,KG,,PER_1000_USD,666086.0
2011,A,0,C,A,N,_L_KG_170301_1A,KG,,PER_1000_USD,849201.1
2012,A,0,C,A,N,_L_KG_170301_1A,KG,,PER_1000_USD,590733.3
2013,A,0,C,A,N,_L_KG_170301_1A,KG,,PER_1000_USD,964507.1
2014,A,0,C,A,N,_L_KG_170301_1A,KG,,PER_1000_USD,727091.2
2015,A,0,C,A,N,_L_KG_170301_1A,KG,,PER_1000_USD,1573243.7
2016,A,0,C,A,N,_L_KG_170301_1A,KG,,PER_1000_USD,813960.7
2017,A,0,C,A,N,_L_KG_170301_1A,KG,,PER_1000_USD,616793.1
2018,A,0,C,A,N,_L_KG_170301_1A,KG,,PER_1000_USD,851743.6
2019,A,0,C,A,N,_L_KG_170301_1A,KG,,PER_1000_USD,1076918.7
2008,A,0,C,A,N,_L_KG_170301_1A,KG,ISIC4_A,PER_1000_USD,583.5904
2009,A,0,C,A,N,_L_KG_170301_1A,KG,ISIC4_A,PER_1000_USD,17.6
2010,A,0,C,A,N,_L_KG_170301_1A,KG,ISIC4_A,PER_1000_USD,2.7
2011,A,0,C,A,N,_L_KG_170301_1A,KG,ISIC4_A,PER_1000_USD,3.5
2012,A,0,C,A,N,_L_KG_170301_1A,KG,ISIC4_A,PER_1000_USD,2045.7
2013,A,0,C,A,N,_L_KG_170301_1A,KG,ISIC4_A,PER_1000_USD,345.0
2015,A,0,C,A,N,_L_KG_170301_1A,KG,ISIC4_A,PER_1000_USD,316.2
2016,A,0,C,A,N,_L_KG_170301_1A,KG,ISIC4_A,PER_1000_USD,210.9
2017,A,0,C,A,N,_L_KG_170301_1A,KG,ISIC4_A,PER_1000_USD,21.8
2018,A,0,C,A,N,_L_KG_170301_1A,KG,ISIC4_A,PER_1000_USD,2327.6
2019,A,0,C,A,N,_L_KG_170301_1A,KG,ISIC4_A,PER_1000_USD,149.1
