Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,AGE,UNIT_MEASURE,Value
2007,A,0,C,A,N,SH_DYN_NMRT,KG,M0,PER_1000_LIVE_BIRTHS,21.062709
2008,A,0,C,A,N,SH_DYN_NMRT,KG,M0,PER_1000_LIVE_BIRTHS,19.633713
2009,A,0,C,A,N,SH_DYN_NMRT,KG,M0,PER_1000_LIVE_BIRTHS,18.141025
2010,A,0,C,A,N,SH_DYN_NMRT,KG,M0,PER_1000_LIVE_BIRTHS,16.397145
2011,A,0,C,A,N,SH_DYN_NMRT,KG,M0,PER_1000_LIVE_BIRTHS,15.346363
2012,A,0,C,A,N,SH_DYN_NMRT,KG,M0,PER_1000_LIVE_BIRTHS,14.627093
2013,A,0,C,A,N,SH_DYN_NMRT,KG,M0,PER_1000_LIVE_BIRTHS,14.891975
2014,A,0,C,A,N,SH_DYN_NMRT,KG,M0,PER_1000_LIVE_BIRTHS,15.641512
2015,A,0,C,A,N,SH_DYN_NMRT,KG,M0,PER_1000_LIVE_BIRTHS,13.997993
2016,A,0,C,A,N,SH_DYN_NMRT,KG,M0,PER_1000_LIVE_BIRTHS,12.670713
2017,A,0,C,A,N,SH_DYN_NMRT,KG,M0,PER_1000_LIVE_BIRTHS,11.795339
2018,A,0,C,A,N,SH_DYN_NMRT,KG,M0,PER_1000_LIVE_BIRTHS,12.0
2019,A,0,C,A,N,SH_DYN_NMRT,KG,M0,PER_1000_LIVE_BIRTHS,11.8
2007,A,0,C,A,N,SH_DYN_NMRT,KG05,M0,PER_1000_LIVE_BIRTHS,20.020582
2008,A,0,C,A,N,SH_DYN_NMRT,KG05,M0,PER_1000_LIVE_BIRTHS,20.371252
2009,A,0,C,A,N,SH_DYN_NMRT,KG05,M0,PER_1000_LIVE_BIRTHS,17.752959
2010,A,0,C,A,N,SH_DYN_NMRT,KG05,M0,PER_1000_LIVE_BIRTHS,17.905103
2011,A,0,C,A,N,SH_DYN_NMRT,KG05,M0,PER_1000_LIVE_BIRTHS,15.911964
2012,A,0,C,A,N,SH_DYN_NMRT,KG05,M0,PER_1000_LIVE_BIRTHS,13.333333
2013,A,0,C,A,N,SH_DYN_NMRT,KG05,M0,PER_1000_LIVE_BIRTHS,13.29229
2014,A,0,C,A,N,SH_DYN_NMRT,KG05,M0,PER_1000_LIVE_BIRTHS,12.498302
2015,A,0,C,A,N,SH_DYN_NMRT,KG05,M0,PER_1000_LIVE_BIRTHS,11.21983
2016,A,0,C,A,N,SH_DYN_NMRT,KG05,M0,PER_1000_LIVE_BIRTHS,10.61082
2017,A,0,C,A,N,SH_DYN_NMRT,KG05,M0,PER_1000_LIVE_BIRTHS,10.611457
2018,A,0,C,A,N,SH_DYN_NMRT,KG05,M0,PER_1000_LIVE_BIRTHS,9.3
2019,A,0,C,A,N,SH_DYN_NMRT,KG05,M0,PER_1000_LIVE_BIRTHS,10.5
2007,A,0,C,A,N,SH_DYN_NMRT,KG03,M0,PER_1000_LIVE_BIRTHS,17.491993
2008,A,0,C,A,N,SH_DYN_NMRT,KG03,M0,PER_1000_LIVE_BIRTHS,13.828495
2009,A,0,C,A,N,SH_DYN_NMRT,KG03,M0,PER_1000_LIVE_BIRTHS,13.109231
2010,A,0,C,A,N,SH_DYN_NMRT,KG03,M0,PER_1000_LIVE_BIRTHS,11.41671
2011,A,0,C,A,N,SH_DYN_NMRT,KG03,M0,PER_1000_LIVE_BIRTHS,11.64604
2012,A,0,C,A,N,SH_DYN_NMRT,KG03,M0,PER_1000_LIVE_BIRTHS,11.539979
2013,A,0,C,A,N,SH_DYN_NMRT,KG03,M0,PER_1000_LIVE_BIRTHS,13.183481
2014,A,0,C,A,N,SH_DYN_NMRT,KG03,M0,PER_1000_LIVE_BIRTHS,14.415326
2015,A,0,C,A,N,SH_DYN_NMRT,KG03,M0,PER_1000_LIVE_BIRTHS,12.659814
2016,A,0,C,A,N,SH_DYN_NMRT,KG03,M0,PER_1000_LIVE_BIRTHS,11.493097
2017,A,0,C,A,N,SH_DYN_NMRT,KG03,M0,PER_1000_LIVE_BIRTHS,9.918574
2018,A,0,C,A,N,SH_DYN_NMRT,KG03,M0,PER_1000_LIVE_BIRTHS,10.2
2019,A,0,C,A,N,SH_DYN_NMRT,KG03,M0,PER_1000_LIVE_BIRTHS,11.7
2007,A,0,C,A,N,SH_DYN_NMRT,KG02,M0,PER_1000_LIVE_BIRTHS,17.433752
2008,A,0,C,A,N,SH_DYN_NMRT,KG02,M0,PER_1000_LIVE_BIRTHS,18.44146
2009,A,0,C,A,N,SH_DYN_NMRT,KG02,M0,PER_1000_LIVE_BIRTHS,16.389014
2010,A,0,C,A,N,SH_DYN_NMRT,KG02,M0,PER_1000_LIVE_BIRTHS,15.933099
2011,A,0,C,A,N,SH_DYN_NMRT,KG02,M0,PER_1000_LIVE_BIRTHS,16.267429
2012,A,0,C,A,N,SH_DYN_NMRT,KG02,M0,PER_1000_LIVE_BIRTHS,14.75265
2013,A,0,C,A,N,SH_DYN_NMRT,KG02,M0,PER_1000_LIVE_BIRTHS,11.261052
2014,A,0,C,A,N,SH_DYN_NMRT,KG02,M0,PER_1000_LIVE_BIRTHS,9.306183
2015,A,0,C,A,N,SH_DYN_NMRT,KG02,M0,PER_1000_LIVE_BIRTHS,12.182109
2016,A,0,C,A,N,SH_DYN_NMRT,KG02,M0,PER_1000_LIVE_BIRTHS,8.420139
2017,A,0,C,A,N,SH_DYN_NMRT,KG02,M0,PER_1000_LIVE_BIRTHS,9.423503
2018,A,0,C,A,N,SH_DYN_NMRT,KG02,M0,PER_1000_LIVE_BIRTHS,8.5
2019,A,0,C,A,N,SH_DYN_NMRT,KG02,M0,PER_1000_LIVE_BIRTHS,9.5
2007,A,0,C,A,N,SH_DYN_NMRT,KG04,M0,PER_1000_LIVE_BIRTHS,17.912773
2008,A,0,C,A,N,SH_DYN_NMRT,KG04,M0,PER_1000_LIVE_BIRTHS,16.943931
2009,A,0,C,A,N,SH_DYN_NMRT,KG04,M0,PER_1000_LIVE_BIRTHS,14.464366
2010,A,0,C,A,N,SH_DYN_NMRT,KG04,M0,PER_1000_LIVE_BIRTHS,12.251149
2011,A,0,C,A,N,SH_DYN_NMRT,KG04,M0,PER_1000_LIVE_BIRTHS,10.273497
2012,A,0,C,A,N,SH_DYN_NMRT,KG04,M0,PER_1000_LIVE_BIRTHS,12.369975
2013,A,0,C,A,N,SH_DYN_NMRT,KG04,M0,PER_1000_LIVE_BIRTHS,11.58413
2014,A,0,C,A,N,SH_DYN_NMRT,KG04,M0,PER_1000_LIVE_BIRTHS,12.209828
2015,A,0,C,A,N,SH_DYN_NMRT,KG04,M0,PER_1000_LIVE_BIRTHS,8.72093
2016,A,0,C,A,N,SH_DYN_NMRT,KG04,M0,PER_1000_LIVE_BIRTHS,11.227763
2017,A,0,C,A,N,SH_DYN_NMRT,KG04,M0,PER_1000_LIVE_BIRTHS,9.984399
2018,A,0,C,A,N,SH_DYN_NMRT,KG04,M0,PER_1000_LIVE_BIRTHS,8.2
2019,A,0,C,A,N,SH_DYN_NMRT,KG04,M0,PER_1000_LIVE_BIRTHS,6.6
2007,A,0,C,A,N,SH_DYN_NMRT,KG06,M0,PER_1000_LIVE_BIRTHS,12.608002
2008,A,0,C,A,N,SH_DYN_NMRT,KG06,M0,PER_1000_LIVE_BIRTHS,13.417951
2009,A,0,C,A,N,SH_DYN_NMRT,KG06,M0,PER_1000_LIVE_BIRTHS,10.630954
2010,A,0,C,A,N,SH_DYN_NMRT,KG06,M0,PER_1000_LIVE_BIRTHS,10.695524
2011,A,0,C,A,N,SH_DYN_NMRT,KG06,M0,PER_1000_LIVE_BIRTHS,8.214286
2012,A,0,C,A,N,SH_DYN_NMRT,KG06,M0,PER_1000_LIVE_BIRTHS,6.444122
2013,A,0,C,A,N,SH_DYN_NMRT,KG06,M0,PER_1000_LIVE_BIRTHS,5.10597
2014,A,0,C,A,N,SH_DYN_NMRT,KG06,M0,PER_1000_LIVE_BIRTHS,5.045162
2015,A,0,C,A,N,SH_DYN_NMRT,KG06,M0,PER_1000_LIVE_BIRTHS,4.312545
2016,A,0,C,A,N,SH_DYN_NMRT,KG06,M0,PER_1000_LIVE_BIRTHS,3.485959
2017,A,0,C,A,N,SH_DYN_NMRT,KG06,M0,PER_1000_LIVE_BIRTHS,3.098263
2018,A,0,C,A,N,SH_DYN_NMRT,KG06,M0,PER_1000_LIVE_BIRTHS,3.4
2019,A,0,C,A,N,SH_DYN_NMRT,KG06,M0,PER_1000_LIVE_BIRTHS,2.8
2007,A,0,C,A,N,SH_DYN_NMRT,KG07,M0,PER_1000_LIVE_BIRTHS,28.86102
2008,A,0,C,A,N,SH_DYN_NMRT,KG07,M0,PER_1000_LIVE_BIRTHS,24.548244
2009,A,0,C,A,N,SH_DYN_NMRT,KG07,M0,PER_1000_LIVE_BIRTHS,25.589948
2010,A,0,C,A,N,SH_DYN_NMRT,KG07,M0,PER_1000_LIVE_BIRTHS,19.147084
2011,A,0,C,A,N,SH_DYN_NMRT,KG07,M0,PER_1000_LIVE_BIRTHS,16.905249
2012,A,0,C,A,N,SH_DYN_NMRT,KG07,M0,PER_1000_LIVE_BIRTHS,15.341309
2013,A,0,C,A,N,SH_DYN_NMRT,KG07,M0,PER_1000_LIVE_BIRTHS,19.851852
