Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2007,A,0,C,A,N,SH_HAP_HBSAG,KG,,PER_100000_POP,12.090992
2008,A,0,C,A,N,SH_HAP_HBSAG,KG,,PER_100000_POP,10.585236
2009,A,0,C,A,N,SH_HAP_HBSAG,KG,,PER_100000_POP,10.866987
2010,A,0,C,A,N,SH_HAP_HBSAG,KG,,PER_100000_POP,9.159392
2011,A,0,C,A,N,SH_HAP_HBSAG,KG,,PER_100000_POP,9.955113
2012,A,0,C,A,N,SH_HAP_HBSAG,KG,,PER_100000_POP,10.075772
2013,A,0,C,A,N,SH_HAP_HBSAG,KG,,PER_100000_POP,8.0
2014,A,0,C,A,N,SH_HAP_HBSAG,KG,,PER_100000_POP,7.5
2015,A,0,C,A,N,SH_HAP_HBSAG,KG,,PER_100000_POP,5.9
2016,A,0,C,A,N,SH_HAP_HBSAG,KG,,PER_100000_POP,6.0
2017,A,0,C,A,N,SH_HAP_HBSAG,KG,,PER_100000_POP,5.3
2018,A,0,C,A,N,SH_HAP_HBSAG,KG,,PER_100000_POP,5.139872
2019,A,0,C,A,N,SH_HAP_HBSAG,KG,,PER_100000_POP,3.918523
2007,A,0,C,A,N,SH_HAP_HBSAG,KG,F,PER_100000_POP,10.26386
2008,A,0,C,A,N,SH_HAP_HBSAG,KG,F,PER_100000_POP,8.088592
2009,A,0,C,A,N,SH_HAP_HBSAG,KG,F,PER_100000_POP,7.22507
2010,A,0,C,A,N,SH_HAP_HBSAG,KG,F,PER_100000_POP,6.597241
2011,A,0,C,A,N,SH_HAP_HBSAG,KG,F,PER_100000_POP,7.700463
2012,A,0,C,A,N,SH_HAP_HBSAG,KG,F,PER_100000_POP,7.084345
2013,A,0,C,A,N,SH_HAP_HBSAG,KG,F,PER_100000_POP,6.4
2014,A,0,C,A,N,SH_HAP_HBSAG,KG,F,PER_100000_POP,5.5
2015,A,0,C,A,N,SH_HAP_HBSAG,KG,F,PER_100000_POP,4.2
2016,A,0,C,A,N,SH_HAP_HBSAG,KG,F,PER_100000_POP,4.5
2017,A,0,C,A,N,SH_HAP_HBSAG,KG,F,PER_100000_POP,4.3
2018,A,0,C,A,N,SH_HAP_HBSAG,KG,F,PER_100000_POP,3.54522
2019,A,0,C,A,N,SH_HAP_HBSAG,KG,F,PER_100000_POP,2.520831
2007,A,0,C,A,N,SH_HAP_HBSAG,KG,M,PER_100000_POP,13.967856
2008,A,0,C,A,N,SH_HAP_HBSAG,KG,M,PER_100000_POP,13.149996
2009,A,0,C,A,N,SH_HAP_HBSAG,KG,M,PER_100000_POP,14.604805
2010,A,0,C,A,N,SH_HAP_HBSAG,KG,M,PER_100000_POP,11.787756
2011,A,0,C,A,N,SH_HAP_HBSAG,KG,M,PER_100000_POP,12.267172
2012,A,0,C,A,N,SH_HAP_HBSAG,KG,M,PER_100000_POP,13.139518
2013,A,0,C,A,N,SH_HAP_HBSAG,KG,M,PER_100000_POP,9.5
2014,A,0,C,A,N,SH_HAP_HBSAG,KG,M,PER_100000_POP,9.5
2015,A,0,C,A,N,SH_HAP_HBSAG,KG,M,PER_100000_POP,7.5
2016,A,0,C,A,N,SH_HAP_HBSAG,KG,M,PER_100000_POP,7.5
2017,A,0,C,A,N,SH_HAP_HBSAG,KG,M,PER_100000_POP,6.2
2018,A,0,C,A,N,SH_HAP_HBSAG,KG,M,PER_100000_POP,6.760797
2019,A,0,C,A,N,SH_HAP_HBSAG,KG,M,PER_100000_POP,5.337712
2007,A,0,C,A,N,SH_HAP_HBSAG,KG05,,PER_100000_POP,20.180533
2008,A,0,C,A,N,SH_HAP_HBSAG,KG05,,PER_100000_POP,20.012808
2009,A,0,C,A,N,SH_HAP_HBSAG,KG05,,PER_100000_POP,11.615832
2010,A,0,C,A,N,SH_HAP_HBSAG,KG05,,PER_100000_POP,4.57193
