Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2007,A,0,C,A,N,SH_STA_TRAF,KG,PER_100000_POP,18.4
2008,A,0,C,A,N,SH_STA_TRAF,KG,PER_100000_POP,19.2
2009,A,0,C,A,N,SH_STA_TRAF,KG,PER_100000_POP,17.6
2010,A,0,C,A,N,SH_STA_TRAF,KG,PER_100000_POP,16.1
2011,A,0,C,A,N,SH_STA_TRAF,KG,PER_100000_POP,16.9
2012,A,0,C,A,N,SH_STA_TRAF,KG,PER_100000_POP,16.5
2013,A,0,C,A,N,SH_STA_TRAF,KG,PER_100000_POP,17.9
2014,A,0,C,A,N,SH_STA_TRAF,KG,PER_100000_POP,15.3
2015,A,0,C,A,N,SH_STA_TRAF,KG,PER_100000_POP,15.6
2016,A,0,C,A,N,SH_STA_TRAF,KG,PER_100000_POP,13.4
2017,A,0,C,A,N,SH_STA_TRAF,KG,PER_100000_POP,13.7
2018,A,0,C,A,N,SH_STA_TRAF,KG,PER_100000_POP,11.0
2019,A,0,C,A,N,SH_STA_TRAF,KG,PER_100000_POP,12.0
2007,A,0,C,A,N,SH_STA_TRAF,KG05,PER_100000_POP,8.3
2008,A,0,C,A,N,SH_STA_TRAF,KG05,PER_100000_POP,13.7
2009,A,0,C,A,N,SH_STA_TRAF,KG05,PER_100000_POP,15.8
2010,A,0,C,A,N,SH_STA_TRAF,KG05,PER_100000_POP,13.0
2011,A,0,C,A,N,SH_STA_TRAF,KG05,PER_100000_POP,12.6
2012,A,0,C,A,N,SH_STA_TRAF,KG05,PER_100000_POP,12.8
2013,A,0,C,A,N,SH_STA_TRAF,KG05,PER_100000_POP,14.6
2014,A,0,C,A,N,SH_STA_TRAF,KG05,PER_100000_POP,12.0
2015,A,0,C,A,N,SH_STA_TRAF,KG05,PER_100000_POP,15.8
2016,A,0,C,A,N,SH_STA_TRAF,KG05,PER_100000_POP,11.0
2017,A,0,C,A,N,SH_STA_TRAF,KG05,PER_100000_POP,13.6
2018,A,0,C,A,N,SH_STA_TRAF,KG05,PER_100000_POP,9.0
2019,A,0,C,A,N,SH_STA_TRAF,KG05,PER_100000_POP,10.2
2007,A,0,C,A,N,SH_STA_TRAF,KG03,PER_100000_POP,13.2
2008,A,0,C,A,N,SH_STA_TRAF,KG03,PER_100000_POP,16.7
2009,A,0,C,A,N,SH_STA_TRAF,KG03,PER_100000_POP,16.5
2010,A,0,C,A,N,SH_STA_TRAF,KG03,PER_100000_POP,12.9
2011,A,0,C,A,N,SH_STA_TRAF,KG03,PER_100000_POP,15.2
2012,A,0,C,A,N,SH_STA_TRAF,KG03,PER_100000_POP,17.5
2013,A,0,C,A,N,SH_STA_TRAF,KG03,PER_100000_POP,14.6
2014,A,0,C,A,N,SH_STA_TRAF,KG03,PER_100000_POP,11.8
2015,A,0,C,A,N,SH_STA_TRAF,KG03,PER_100000_POP,12.7
2016,A,0,C,A,N,SH_STA_TRAF,KG03,PER_100000_POP,11.1
2017,A,0,C,A,N,SH_STA_TRAF,KG03,PER_100000_POP,8.6
2018,A,0,C,A,N,SH_STA_TRAF,KG03,PER_100000_POP,7.9
2019,A,0,C,A,N,SH_STA_TRAF,KG03,PER_100000_POP,8.6
2007,A,0,C,A,N,SH_STA_TRAF,KG02,PER_100000_POP,32.5
2008,A,0,C,A,N,SH_STA_TRAF,KG02,PER_100000_POP,29.3
2009,A,0,C,A,N,SH_STA_TRAF,KG02,PER_100000_POP,23.2
2010,A,0,C,A,N,SH_STA_TRAF,KG02,PER_100000_POP,27.3
2011,A,0,C,A,N,SH_STA_TRAF,KG02,PER_100000_POP,32.5
2012,A,0,C,A,N,SH_STA_TRAF,KG02,PER_100000_POP,26.6
2013,A,0,C,A,N,SH_STA_TRAF,KG02,PER_100000_POP,35.3
2014,A,0,C,A,N,SH_STA_TRAF,KG02,PER_100000_POP,23.9
2015,A,0,C,A,N,SH_STA_TRAF,KG02,PER_100000_POP,27.8
2016,A,0,C,A,N,SH_STA_TRAF,KG02,PER_100000_POP,22.8
2017,A,0,C,A,N,SH_STA_TRAF,KG02,PER_100000_POP,25.8
2018,A,0,C,A,N,SH_STA_TRAF,KG02,PER_100000_POP,18.5
2019,A,0,C,A,N,SH_STA_TRAF,KG02,PER_100000_POP,19.5
2007,A,0,C,A,N,SH_STA_TRAF,KG04,PER_100000_POP,29.2
2008,A,0,C,A,N,SH_STA_TRAF,KG04,PER_100000_POP,26.4
2009,A,0,C,A,N,SH_STA_TRAF,KG04,PER_100000_POP,28.3
2010,A,0,C,A,N,SH_STA_TRAF,KG04,PER_100000_POP,27.6
2011,A,0,C,A,N,SH_STA_TRAF,KG04,PER_100000_POP,26.9
2012,A,0,C,A,N,SH_STA_TRAF,KG04,PER_100000_POP,27.0
2013,A,0,C,A,N,SH_STA_TRAF,KG04,PER_100000_POP,24.8
2014,A,0,C,A,N,SH_STA_TRAF,KG04,PER_100000_POP,28.9
2015,A,0,C,A,N,SH_STA_TRAF,KG04,PER_100000_POP,30.8
2016,A,0,C,A,N,SH_STA_TRAF,KG04,PER_100000_POP,19.7
2017,A,0,C,A,N,SH_STA_TRAF,KG04,PER_100000_POP,26.5
2018,A,0,C,A,N,SH_STA_TRAF,KG04,PER_100000_POP,24.9
2019,A,0,C,A,N,SH_STA_TRAF,KG04,PER_100000_POP,23.6
2007,A,0,C,A,N,SH_STA_TRAF,KG06,PER_100000_POP,13.5
2008,A,0,C,A,N,SH_STA_TRAF,KG06,PER_100000_POP,15.3
2009,A,0,C,A,N,SH_STA_TRAF,KG06,PER_100000_POP,14.5
2010,A,0,C,A,N,SH_STA_TRAF,KG06,PER_100000_POP,14.7
2011,A,0,C,A,N,SH_STA_TRAF,KG06,PER_100000_POP,14.7
2012,A,0,C,A,N,SH_STA_TRAF,KG06,PER_100000_POP,15.0
2013,A,0,C,A,N,SH_STA_TRAF,KG06,PER_100000_POP,14.3
2014,A,0,C,A,N,SH_STA_TRAF,KG06,PER_100000_POP,15.5
2015,A,0,C,A,N,SH_STA_TRAF,KG06,PER_100000_POP,12.4
2016,A,0,C,A,N,SH_STA_TRAF,KG06,PER_100000_POP,11.7
2017,A,0,C,A,N,SH_STA_TRAF,KG06,PER_100000_POP,11.8
2018,A,0,C,A,N,SH_STA_TRAF,KG06,PER_100000_POP,9.6
2019,A,0,C,A,N,SH_STA_TRAF,KG06,PER_100000_POP,11.7
2007,A,0,C,A,N,SH_STA_TRAF,KG07,PER_100000_POP,15.3
2008,A,0,C,A,N,SH_STA_TRAF,KG07,PER_100000_POP,17.3
2009,A,0,C,A,N,SH_STA_TRAF,KG07,PER_100000_POP,16.7
2010,A,0,C,A,N,SH_STA_TRAF,KG07,PER_100000_POP,19.1
2011,A,0,C,A,N,SH_STA_TRAF,KG07,PER_100000_POP,24.4
2012,A,0,C,A,N,SH_STA_TRAF,KG07,PER_100000_POP,25.3
2013,A,0,C,A,N,SH_STA_TRAF,KG07,PER_100000_POP,23.2
2014,A,0,C,A,N,SH_STA_TRAF,KG07,PER_100000_POP,21.6
2015,A,0,C,A,N,SH_STA_TRAF,KG07,PER_100000_POP,16.0
2016,A,0,C,A,N,SH_STA_TRAF,KG07,PER_100000_POP,17.4
2017,A,0,C,A,N,SH_STA_TRAF,KG07,PER_100000_POP,15.6
2018,A,0,C,A,N,SH_STA_TRAF,KG07,PER_100000_POP,20.3
2019,A,0,C,A,N,SH_STA_TRAF,KG07,PER_100000_POP,13.2
2007,A,0,C,A,N,SH_STA_TRAF,KG08,PER_100000_POP,31.0
2008,A,0,C,A,N,SH_STA_TRAF,KG08,PER_100000_POP,28.1
2009,A,0,C,A,N,SH_STA_TRAF,KG08,PER_100000_POP,23.2
2010,A,0,C,A,N,SH_STA_TRAF,KG08,PER_100000_POP,19.7
2011,A,0,C,A,N,SH_STA_TRAF,KG08,PER_100000_POP,20.0
2012,A,0,C,A,N,SH_STA_TRAF,KG08,PER_100000_POP,18.9
2013,A,0,C,A,N,SH_STA_TRAF,KG08,PER_100000_POP,24.5
2014,A,0,C,A,N,SH_STA_TRAF,KG08,PER_100000_POP,20.0
2015,A,0,C,A,N,SH_STA_TRAF,KG08,PER_100000_POP,20.5
2016,A,0,C,A,N,SH_STA_TRAF,KG08,PER_100000_POP,18.2
2017,A,0,C,A,N,SH_STA_TRAF,KG08,PER_100000_POP,19.9
2018,A,0,C,A,N,SH_STA_TRAF,KG08,PER_100000_POP,14.8
2019,A,0,C,A,N,SH_STA_TRAF,KG08,PER_100000_POP,15.3
2007,A,0,C,A,N,SH_STA_TRAF,KG11,PER_100000_POP,14.4
