Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2010,A,0,C,A,N,_L_KG_040C01_1,KG,_L_TCH_PR_SCH_EDU,PT,87.9
2013,A,0,C,A,N,_L_KG_040C01_1,KG,_L_TCH_PR_SCH_EDU,PT,88.8
2014,A,0,C,A,N,_L_KG_040C01_1,KG,_L_TCH_PR_SCH_EDU,PT,89.8
2015,A,0,C,A,N,_L_KG_040C01_1,KG,_L_TCH_PR_SCH_EDU,PT,94.7
2016,A,0,C,A,N,_L_KG_040C01_1,KG,_L_TCH_PR_SCH_EDU,PT,91.6
2017,A,0,C,A,N,_L_KG_040C01_1,KG,_L_TCH_PR_SCH_EDU,PT,93.4
2018,A,0,C,A,N,_L_KG_040C01_1,KG,_L_TCH_PR_SCH_EDU,PT,93.5
2019,A,0,C,A,N,_L_KG_040C01_1,KG,_L_TCH_PR_SCH_EDU,PT,93.6
2010,A,0,C,A,N,_L_KG_040C01_1,KG,_L_TCH_PR_SCH_1_4,PT,93.6
2013,A,0,C,A,N,_L_KG_040C01_1,KG,_L_TCH_PR_SCH_1_4,PT,94.3
2014,A,0,C,A,N,_L_KG_040C01_1,KG,_L_TCH_PR_SCH_1_4,PT,94.4
2015,A,0,C,A,N,_L_KG_040C01_1,KG,_L_TCH_PR_SCH_1_4,PT,95.0
2016,A,0,C,A,N,_L_KG_040C01_1,KG,_L_TCH_PR_SCH_1_4,PT,95.4
2017,A,0,C,A,N,_L_KG_040C01_1,KG,_L_TCH_PR_SCH_1_4,PT,96.0
2018,A,0,C,A,N,_L_KG_040C01_1,KG,_L_TCH_PR_SCH_1_4,PT,96.4
2019,A,0,C,A,N,_L_KG_040C01_1,KG,_L_TCH_PR_SCH_1_4,PT,96.3
2010,A,0,C,A,N,_L_KG_040C01_1,KG,_L_TCH_PR_SEC_SCH_5_11,PT,92.9
2013,A,0,C,A,N,_L_KG_040C01_1,KG,_L_TCH_PR_SEC_SCH_5_11,PT,94.8
2014,A,0,C,A,N,_L_KG_040C01_1,KG,_L_TCH_PR_SEC_SCH_5_11,PT,95.3
2015,A,0,C,A,N,_L_KG_040C01_1,KG,_L_TCH_PR_SEC_SCH_5_11,PT,95.9
2016,A,0,C,A,N,_L_KG_040C01_1,KG,_L_TCH_PR_SEC_SCH_5_11,PT,96.9
2017,A,0,C,A,N,_L_KG_040C01_1,KG,_L_TCH_PR_SEC_SCH_5_11,PT,97.9
2018,A,0,C,A,N,_L_KG_040C01_1,KG,_L_TCH_PR_SEC_SCH_5_11,PT,98.0
2019,A,0,C,A,N,_L_KG_040C01_1,KG,_L_TCH_PR_SEC_SCH_5_11,PT,98.0
