Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,DISABILITY_STATUS,UNIT_MEASURE,Value
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF15,KG,F,Y20T24,,,,PT,0.3
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF15,KG05,F,Y20T24,,,,PT,0.0
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF15,KG03,F,Y20T24,,,,PT,0.0
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF15,KG02,F,Y20T24,,,,PT,0.0
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF15,KG04,F,Y20T24,,,,PT,0.0
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF15,KG06,F,Y20T24,,,,PT,0.0
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF15,KG07,F,Y20T24,,,,PT,2.8
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF15,KG08,F,Y20T24,,,,PT,0.0
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF15,KG11,F,Y20T24,,,,PT,1.0
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF15,KG21,F,Y20T24,,,,PT,0.0
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF15,KG,F,Y20T24,,ISCED11_2,,PT,0.6
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF15,KG,F,Y20T24,,ISCED11_3,,PT,0.8
