Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,UNIT_MEASURE,COMMENT_OBS,Value
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,EG_EGY_CLEAN,KG,,,,PT,,19.2
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,EG_EGY_CLEAN,KG,U,,,PT,,47.5
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,EG_EGY_CLEAN,KG,R,,,PT,,3.2
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,EG_EGY_CLEAN,KG05,,,,PT,,2.8
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,EG_EGY_CLEAN,KG03,,,,PT,,15.9
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,EG_EGY_CLEAN,KG02,,,,PT,,13.6
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,EG_EGY_CLEAN,KG04,,,,PT,,7.1
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,EG_EGY_CLEAN,KG06,,,,PT,,1.3
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,EG_EGY_CLEAN,KG07,,,,PT,,8.8
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,EG_EGY_CLEAN,KG08,,,,PT,,11.1
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,EG_EGY_CLEAN,KG11,,,,PT,,59.9
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,EG_EGY_CLEAN,KG21,,,,PT,,32.1
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,EG_EGY_CLEAN,KG,,,ISCED11_1,PT,Education of head houshold,6.8
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,EG_EGY_CLEAN,KG,,,ISCED11_2,PT,Education of head houshold,10.5
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,EG_EGY_CLEAN,KG,,,ISCED11_3,PT,Education of head houshold,11.4
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,EG_EGY_CLEAN,KG,,,ISCED11_4,PT,Education of head houshold,19.7
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,EG_EGY_CLEAN,KG,,,ISCED11_6_7,PT,Education of head houshold,38.9
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,EG_EGY_CLEAN,KG,,Q1,,PT,,1.0
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,EG_EGY_CLEAN,KG,,Q2,,PT,,2.6
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,EG_EGY_CLEAN,KG,,Q3,,PT,,6.1
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,EG_EGY_CLEAN,KG,,Q4,,PT,,9.3
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,EG_EGY_CLEAN,KG,,Q5,,PT,,76.9
