Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2010,A,0,C,A,N,_L_KG_081002_2A,KG,NUMBER,18.0
2011,A,0,C,A,N,_L_KG_081002_2A,KG,NUMBER,18.0
2012,A,0,C,A,N,_L_KG_081002_2A,KG,NUMBER,19.0
2013,A,0,C,A,N,_L_KG_081002_2A,KG,NUMBER,19.0
2014,A,0,C,A,N,_L_KG_081002_2A,KG,NUMBER,21.0
2015,A,0,C,A,N,_L_KG_081002_2A,KG,NUMBER,22.0
2016,A,0,C,A,N,_L_KG_081002_2A,KG,NUMBER,24.0
2017,A,0,C,A,N,_L_KG_081002_2A,KG,NUMBER,23.0
2018,A,0,C,A,N,_L_KG_081002_2A,KG,NUMBER,22.0
2019,A,0,C,A,N,_L_KG_081002_2A,KG,NUMBER,20.0
2010,A,6,C,A,N,_L_KG_081002_2B,KG,CUR_LCU,477.2
2011,A,6,C,A,N,_L_KG_081002_2B,KG,CUR_LCU,292.9
2012,A,6,C,A,N,_L_KG_081002_2B,KG,CUR_LCU,337.8
2013,A,6,C,A,N,_L_KG_081002_2B,KG,CUR_LCU,405.4
2014,A,6,C,A,N,_L_KG_081002_2B,KG,CUR_LCU,1003.2
2015,A,6,C,A,N,_L_KG_081002_2B,KG,CUR_LCU,967.0
2016,A,6,C,A,N,_L_KG_081002_2B,KG,CUR_LCU,921.3
2017,A,6,C,A,N,_L_KG_081002_2B,KG,CUR_LCU,1004.4
2018,A,6,C,A,N,_L_KG_081002_2B,KG,CUR_LCU,1092.7
2019,A,6,C,A,N,_L_KG_081002_2B,KG,CUR_LCU,1308.1
