Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,ACTIVITY,UNIT_MEASURE,Value
2007,A,0,C,A,N,_L_KG_080301_1,KG,,,,,PER_1000_POP,1514.8
2008,A,0,C,A,N,_L_KG_080301_1,KG,,,,,PER_1000_POP,1559.6
2009,A,0,C,A,N,_L_KG_080301_1,KG,,,,,PER_1000_POP,1592.9
2010,A,0,C,A,N,_L_KG_080301_1,KG,,,,,PER_1000_POP,1589.7
2011,A,0,C,A,N,_L_KG_080301_1,KG,,,,,PER_1000_POP,1603.9
2012,A,0,C,A,N,_L_KG_080301_1,KG,,,,,PER_1000_POP,1602.8
2013,A,0,C,A,N,_L_KG_080301_1,KG,,,,,PER_1000_POP,1629.1
2014,A,0,C,A,N,_L_KG_080301_1,KG,,,,,PER_1000_POP,1653.0
2015,A,0,C,A,N,_L_KG_080301_1,KG,,,,,PER_1000_POP,1686.4
2016,A,0,C,A,N,_L_KG_080301_1,KG,,,,,PER_1000_POP,1683.0
2017,A,0,C,A,N,_L_KG_080301_1,KG,,,,,PER_1000_POP,1611.3
2018,A,0,C,A,N,_L_KG_080301_1,KG,,,,,PER_1000_POP,1686.9
2019,A,0,C,A,N,_L_KG_080301_1,KG,,,,,PER_1000_POP,1754.2
2007,A,0,C,A,N,_L_KG_080301_1,KG,M,,,,PER_1000_POP,928.9
2008,A,0,C,A,N,_L_KG_080301_1,KG,M,,,,PER_1000_POP,936.1
2009,A,0,C,A,N,_L_KG_080301_1,KG,M,,,,PER_1000_POP,983.6
2010,A,0,C,A,N,_L_KG_080301_1,KG,M,,,,PER_1000_POP,993.8
2011,A,0,C,A,N,_L_KG_080301_1,KG,M,,,,PER_1000_POP,999.9
2012,A,0,C,A,N,_L_KG_080301_1,KG,M,,,,PER_1000_POP,1008.4
2013,A,0,C,A,N,_L_KG_080301_1,KG,M,,,,PER_1000_POP,1044.3
2014,A,0,C,A,N,_L_KG_080301_1,KG,M,,,,PER_1000_POP,1040.6
2015,A,0,C,A,N,_L_KG_080301_1,KG,M,,,,PER_1000_POP,1077.9
2016,A,0,C,A,N,_L_KG_080301_1,KG,M,,,,PER_1000_POP,1095.7
2017,A,0,C,A,N,_L_KG_080301_1,KG,M,,,,PER_1000_POP,1074.4
2018,A,0,C,A,N,_L_KG_080301_1,KG,M,,,,PER_1000_POP,1131.7
2019,A,0,C,A,N,_L_KG_080301_1,KG,M,,,,PER_1000_POP,1161.7
2007,A,0,C,A,N,_L_KG_080301_1,KG,F,,,,PER_1000_POP,585.9
2008,A,0,C,A,N,_L_KG_080301_1,KG,F,,,,PER_1000_POP,623.5
2009,A,0,C,A,N,_L_KG_080301_1,KG,F,,,,PER_1000_POP,609.4
2010,A,0,C,A,N,_L_KG_080301_1,KG,F,,,,PER_1000_POP,595.9
2011,A,0,C,A,N,_L_KG_080301_1,KG,F,,,,PER_1000_POP,604.0
2012,A,0,C,A,N,_L_KG_080301_1,KG,F,,,,PER_1000_POP,594.4
2013,A,0,C,A,N,_L_KG_080301_1,KG,F,,,,PER_1000_POP,584.8
2014,A,0,C,A,N,_L_KG_080301_1,KG,F,,,,PER_1000_POP,612.3
2015,A,0,C,A,N,_L_KG_080301_1,KG,F,,,,PER_1000_POP,608.5
2016,A,0,C,A,N,_L_KG_080301_1,KG,F,,,,PER_1000_POP,587.3
2017,A,0,C,A,N,_L_KG_080301_1,KG,F,,,,PER_1000_POP,536.9
2018,A,0,C,A,N,_L_KG_080301_1,KG,F,,,,PER_1000_POP,555.2
2019,A,0,C,A,N,_L_KG_080301_1,KG,F,,,,PER_1000_POP,592.5
2007,A,0,C,A,N,_L_KG_080301_1,KG,,Y15T19,,,PER_1000_POP,129.7
2008,A,0,C,A,N,_L_KG_080301_1,KG,,Y15T19,,,PER_1000_POP,130.2
2009,A,0,C,A,N,_L_KG_080301_1,KG,,Y15T19,,,PER_1000_POP,139.2
2010,A,0,C,A,N,_L_KG_080301_1,KG,,Y15T19,,,PER_1000_POP,128.9
2011,A,0,C,A,N,_L_KG_080301_1,KG,,Y15T19,,,PER_1000_POP,120.5
2012,A,0,C,A,N,_L_KG_080301_1,KG,,Y15T19,,,PER_1000_POP,109.0
2013,A,0,C,A,N,_L_KG_080301_1,KG,,Y15T19,,,PER_1000_POP,126.1
2014,A,0,C,A,N,_L_KG_080301_1,KG,,Y15T19,,,PER_1000_POP,108.0
2015,A,0,C,A,N,_L_KG_080301_1,KG,,Y15T19,,,PER_1000_POP,101.7
2016,A,0,C,A,N,_L_KG_080301_1,KG,,Y15T19,,,PER_1000_POP,85.0
2017,A,0,C,A,N,_L_KG_080301_1,KG,,Y15T19,,,PER_1000_POP,71.1
2018,A,0,C,A,N,_L_KG_080301_1,KG,,Y15T19,,,PER_1000_POP,76.5
2019,A,0,C,A,N,_L_KG_080301_1,KG,,Y15T19,,,PER_1000_POP,75.3
2007,A,0,C,A,N,_L_KG_080301_1,KG,,Y20T29,,,PER_1000_POP,463.8
2008,A,0,C,A,N,_L_KG_080301_1,KG,,Y20T29,,,PER_1000_POP,485.6
2009,A,0,C,A,N,_L_KG_080301_1,KG,,Y20T29,,,PER_1000_POP,492.5
2010,A,0,C,A,N,_L_KG_080301_1,KG,,Y20T29,,,PER_1000_POP,500.9
2011,A,0,C,A,N,_L_KG_080301_1,KG,,Y20T29,,,PER_1000_POP,502.9
2012,A,0,C,A,N,_L_KG_080301_1,KG,,Y20T29,,,PER_1000_POP,497.3
2013,A,0,C,A,N,_L_KG_080301_1,KG,,Y20T29,,,PER_1000_POP,523.0
2014,A,0,C,A,N,_L_KG_080301_1,KG,,Y20T29,,,PER_1000_POP,516.5
2015,A,0,C,A,N,_L_KG_080301_1,KG,,Y20T29,,,PER_1000_POP,516.1
2016,A,0,C,A,N,_L_KG_080301_1,KG,,Y20T29,,,PER_1000_POP,518.7
2017,A,0,C,A,N,_L_KG_080301_1,KG,,Y20T29,,,PER_1000_POP,499.3
2018,A,0,C,A,N,_L_KG_080301_1,KG,,Y20T29,,,PER_1000_POP,500.7
2019,A,0,C,A,N,_L_KG_080301_1,KG,,Y20T29,,,PER_1000_POP,503.5
2007,A,0,C,A,N,_L_KG_080301_1,KG,,Y30T39,,,PER_1000_POP,408.9
2008,A,0,C,A,N,_L_KG_080301_1,KG,,Y30T39,,,PER_1000_POP,416.3
2009,A,0,C,A,N,_L_KG_080301_1,KG,,Y30T39,,,PER_1000_POP,408.1
2010,A,0,C,A,N,_L_KG_080301_1,KG,,Y30T39,,,PER_1000_POP,406.5
2011,A,0,C,A,N,_L_KG_080301_1,KG,,Y30T39,,,PER_1000_POP,403.8
2012,A,0,C,A,N,_L_KG_080301_1,KG,,Y30T39,,,PER_1000_POP,397.8
2013,A,0,C,A,N,_L_KG_080301_1,KG,,Y30T39,,,PER_1000_POP,411.3
2014,A,0,C,A,N,_L_KG_080301_1,KG,,Y30T39,,,PER_1000_POP,437.4
2015,A,0,C,A,N,_L_KG_080301_1,KG,,Y30T39,,,PER_1000_POP,449.1
2016,A,0,C,A,N,_L_KG_080301_1,KG,,Y30T39,,,PER_1000_POP,446.8
2017,A,0,C,A,N,_L_KG_080301_1,KG,,Y30T39,,,PER_1000_POP,447.3
2018,A,0,C,A,N,_L_KG_080301_1,KG,,Y30T39,,,PER_1000_POP,463.0
2019,A,0,C,A,N,_L_KG_080301_1,KG,,Y30T39,,,PER_1000_POP,487.0
2007,A,0,C,A,N,_L_KG_080301_1,KG,,Y40T49,,,PER_1000_POP,328.7
2008,A,0,C,A,N,_L_KG_080301_1,KG,,Y40T49,,,PER_1000_POP,335.8
2009,A,0,C,A,N,_L_KG_080301_1,KG,,Y40T49,,,PER_1000_POP,343.1
2010,A,0,C,A,N,_L_KG_080301_1,KG,,Y40T49,,,PER_1000_POP,336.4
2011,A,0,C,A,N,_L_KG_080301_1,KG,,Y40T49,,,PER_1000_POP,341.3
2012,A,0,C,A,N,_L_KG_080301_1,KG,,Y40T49,,,PER_1000_POP,356.0
2013,A,0,C,A,N,_L_KG_080301_1,KG,,Y40T49,,,PER_1000_POP,348.4
2014,A,0,C,A,N,_L_KG_080301_1,KG,,Y40T49,,,PER_1000_POP,352.0
2015,A,0,C,A,N,_L_KG_080301_1,KG,,Y40T49,,,PER_1000_POP,361.7
2016,A,0,C,A,N,_L_KG_080301_1,KG,,Y40T49,,,PER_1000_POP,371.4
2017,A,0,C,A,N,_L_KG_080301_1,KG,,Y40T49,,,PER_1000_POP,344.5
2018,A,0,C,A,N,_L_KG_080301_1,KG,,Y40T49,,,PER_1000_POP,367.3
2019,A,0,C,A,N,_L_KG_080301_1,KG,,Y40T49,,,PER_1000_POP,373.4
2007,A,0,C,A,N,_L_KG_080301_1,KG,,Y50T59,,,PER_1000_POP,149.3
2008,A,0,C,A,N,_L_KG_080301_1,KG,,Y50T59,,,PER_1000_POP,154.0
2009,A,0,C,A,N,_L_KG_080301_1,KG,,Y50T59,,,PER_1000_POP,168.4
2010,A,0,C,A,N,_L_KG_080301_1,KG,,Y50T59,,,PER_1000_POP,174.3
2011,A,0,C,A,N,_L_KG_080301_1,KG,,Y50T59,,,PER_1000_POP,187.7
