Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,ACTIVITY,UNIT_MEASURE,Value
2011,A,0,C,A,N,_L_KG_080501_1,KG,F,,CUR_LCU,8365.6
2011,A,0,C,A,N,_L_KG_080501_1,KG,M,,CUR_LCU,10675.2
2012,A,0,C,A,N,_L_KG_080501_1,KG,F,,CUR_LCU,8700.3
2012,A,0,C,A,N,_L_KG_080501_1,KG,M,,CUR_LCU,11716.3
2013,A,0,C,A,N,_L_KG_080501_1,KG,F,,CUR_LCU,9113.1
2013,A,0,C,A,N,_L_KG_080501_1,KG,M,,CUR_LCU,12439.5
2014,A,0,C,A,N,_L_KG_080501_1,KG,F,,CUR_LCU,9732.4
2014,A,0,C,A,N,_L_KG_080501_1,KG,M,,CUR_LCU,13694.6
2015,A,0,C,A,N,_L_KG_080501_1,KG,F,,CUR_LCU,11125.3
2015,A,0,C,A,N,_L_KG_080501_1,KG,M,,CUR_LCU,14742.8
2016,A,0,C,A,N,_L_KG_080501_1,KG,F,,CUR_LCU,11742.9
2016,A,0,C,A,N,_L_KG_080501_1,KG,M,,CUR_LCU,15591.5
2017,A,0,C,A,N,_L_KG_080501_1,KG,F,,CUR_LCU,12182.8
2017,A,0,C,A,N,_L_KG_080501_1,KG,M,,CUR_LCU,16802.1
2018,A,0,C,A,N,_L_KG_080501_1,KG,F,,CUR_LCU,12573.5
2018,A,0,C,A,N,_L_KG_080501_1,KG,M,,CUR_LCU,17556.4
2019,A,0,C,A,N,_L_KG_080501_1,KG,F,,CUR_LCU,14421.0
2019,A,0,C,A,N,_L_KG_080501_1,KG,M,,CUR_LCU,18724.0
2011,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_A,CUR_LCU,4548.5
2011,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_A,CUR_LCU,4561.6
2012,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_A,CUR_LCU,4726.7
2012,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_A,CUR_LCU,4879.9
2013,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_A,CUR_LCU,5230.8
2013,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_A,CUR_LCU,5699.4
2014,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_A,CUR_LCU,6192.7
2014,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_A,CUR_LCU,6074.3
2015,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_A,CUR_LCU,7378.6
2015,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_A,CUR_LCU,9018.1
2016,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_A,CUR_LCU,7390.0
2016,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_A,CUR_LCU,8359.8
2017,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_A,CUR_LCU,8497.0
2017,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_A,CUR_LCU,8922.4
2018,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_A,CUR_LCU,8905.7
