Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,Value
2007,A,0,C,A,N,SL_TLF_NEET,KG,,Y15T24,PT,16.7
2008,A,0,C,A,N,SL_TLF_NEET,KG,,Y15T24,PT,17.0
2009,A,0,C,A,N,SL_TLF_NEET,KG,,Y15T24,PT,17.8
2010,A,0,C,A,N,SL_TLF_NEET,KG,,Y15T24,PT,18.3
2011,A,0,C,A,N,SL_TLF_NEET,KG,,Y15T24,PT,17.4
2012,A,0,C,A,N,SL_TLF_NEET,KG,,Y15T24,PT,17.7
2013,A,0,C,A,N,SL_TLF_NEET,KG,,Y15T24,PT,22.1
2014,A,0,C,A,N,SL_TLF_NEET,KG,,Y15T24,PT,20.7
2015,A,0,C,A,N,SL_TLF_NEET,KG,,Y15T24,PT,21.4
2016,A,0,C,A,N,SL_TLF_NEET,KG,,Y15T24,PT,20.4
2017,A,0,C,A,N,SL_TLF_NEET,KG,,Y15T24,PT,21.0
2018,A,0,C,A,N,SL_TLF_NEET,KG,,Y15T24,PT,20.5
2019,A,0,C,A,N,SL_TLF_NEET,KG,,Y15T24,PT,21.0
2007,A,0,C,A,N,SL_TLF_NEET,KG,M,Y15T24,PT,10.7
2008,A,0,C,A,N,SL_TLF_NEET,KG,M,Y15T24,PT,12.8
2009,A,0,C,A,N,SL_TLF_NEET,KG,M,Y15T24,PT,12.3
2010,A,0,C,A,N,SL_TLF_NEET,KG,M,Y15T24,PT,11.5
2011,A,0,C,A,N,SL_TLF_NEET,KG,M,Y15T24,PT,9.7
2012,A,0,C,A,N,SL_TLF_NEET,KG,M,Y15T24,PT,10.1
2013,A,0,C,A,N,SL_TLF_NEET,KG,M,Y15T24,PT,14.3
2014,A,0,C,A,N,SL_TLF_NEET,KG,M,Y15T24,PT,12.5
2015,A,0,C,A,N,SL_TLF_NEET,KG,M,Y15T24,PT,13.6
2016,A,0,C,A,N,SL_TLF_NEET,KG,M,Y15T24,PT,12.1
2017,A,0,C,A,N,SL_TLF_NEET,KG,M,Y15T24,PT,12.3
2018,A,0,C,A,N,SL_TLF_NEET,KG,M,Y15T24,PT,12.0
2019,A,0,C,A,N,SL_TLF_NEET,KG,M,Y15T24,PT,12.6
2007,A,0,C,A,N,SL_TLF_NEET,KG,F,Y15T24,PT,22.8
2008,A,0,C,A,N,SL_TLF_NEET,KG,F,Y15T24,PT,21.3
2009,A,0,C,A,N,SL_TLF_NEET,KG,F,Y15T24,PT,23.5
2010,A,0,C,A,N,SL_TLF_NEET,KG,F,Y15T24,PT,25.2
2011,A,0,C,A,N,SL_TLF_NEET,KG,F,Y15T24,PT,25.2
2012,A,0,C,A,N,SL_TLF_NEET,KG,F,Y15T24,PT,25.5
2013,A,0,C,A,N,SL_TLF_NEET,KG,F,Y15T24,PT,30.0
2014,A,0,C,A,N,SL_TLF_NEET,KG,F,Y15T24,PT,29.2
2015,A,0,C,A,N,SL_TLF_NEET,KG,F,Y15T24,PT,29.5
2016,A,0,C,A,N,SL_TLF_NEET,KG,F,Y15T24,PT,29.0
2017,A,0,C,A,N,SL_TLF_NEET,KG,F,Y15T24,PT,30.1
2018,A,0,C,A,N,SL_TLF_NEET,KG,F,Y15T24,PT,29.4
2019,A,0,C,A,N,SL_TLF_NEET,KG,F,Y15T24,PT,29.6
