Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,UNIT_MEASURE,COMMENT_TS,Value
2010,A,0,C,A,N,SL_TLF_MANF,KG,,PT,,7.8
2011,A,0,C,A,N,SL_TLF_MANF,KG,,PT,,7.6
2012,A,0,C,A,N,SL_TLF_MANF,KG,,PT,,7.6
2013,A,0,C,A,N,SL_TLF_MANF,KG,,PT,,6.9
2014,A,0,C,A,N,SL_TLF_MANF,KG,,PT,,6.9
2015,A,0,C,A,N,SL_TLF_MANF,KG,,PT,,7.4
2016,A,0,C,A,N,SL_TLF_MANF,KG,,PT,,7.6
2017,A,0,C,A,N,SL_TLF_MANF,KG,,PT,,10.1
2018,A,0,C,A,N,SL_TLF_MANF,KG,,PT,,12.0
2019,A,0,C,A,N,SL_TLF_MANF,KG,,PT,,11.8
2010,A,0,C,A,N,SL_TLF_MANF,KG05,,PT,,6.4
2011,A,0,C,A,N,SL_TLF_MANF,KG05,,PT,,6.4
2012,A,0,C,A,N,SL_TLF_MANF,KG05,,PT,,5.7
2013,A,0,C,A,N,SL_TLF_MANF,KG05,,PT,,3.1
2014,A,0,C,A,N,SL_TLF_MANF,KG05,,PT,,3.0
2015,A,0,C,A,N,SL_TLF_MANF,KG05,,PT,,2.3
2016,A,0,C,A,N,SL_TLF_MANF,KG05,,PT,,2.4
2017,A,0,C,A,N,SL_TLF_MANF,KG05,,PT,,4.5
2018,A,0,C,A,N,SL_TLF_MANF,KG05,,PT,,6.9
2019,A,0,C,A,N,SL_TLF_MANF,KG05,,PT,,13.2
2010,A,0,C,A,N,SL_TLF_MANF,KG03,,PT,,3.1
2011,A,0,C,A,N,SL_TLF_MANF,KG03,,PT,,3.3
2012,A,0,C,A,N,SL_TLF_MANF,KG03,,PT,,4.3
2013,A,0,C,A,N,SL_TLF_MANF,KG03,,PT,,5.1
2014,A,0,C,A,N,SL_TLF_MANF,KG03,,PT,,5.3
2015,A,0,C,A,N,SL_TLF_MANF,KG03,,PT,,5.5
2016,A,0,C,A,N,SL_TLF_MANF,KG03,,PT,,5.4
2017,A,0,C,A,N,SL_TLF_MANF,KG03,,PT,,8.9
2018,A,0,C,A,N,SL_TLF_MANF,KG03,,PT,,15.3
2019,A,0,C,A,N,SL_TLF_MANF,KG03,,PT,,11.0
2010,A,0,C,A,N,SL_TLF_MANF,KG02,,PT,,3.2
2011,A,0,C,A,N,SL_TLF_MANF,KG02,,PT,,3.7
2012,A,0,C,A,N,SL_TLF_MANF,KG02,,PT,,4.1
2013,A,0,C,A,N,SL_TLF_MANF,KG02,,PT,,4.1
2014,A,0,C,A,N,SL_TLF_MANF,KG02,,PT,,4.2
2015,A,0,C,A,N,SL_TLF_MANF,KG02,,PT,,4.7
2016,A,0,C,A,N,SL_TLF_MANF,KG02,,PT,,5.3
2017,A,0,C,A,N,SL_TLF_MANF,KG02,,PT,,6.4
2018,A,0,C,A,N,SL_TLF_MANF,KG02,,PT,,8.2
2019,A,0,C,A,N,SL_TLF_MANF,KG02,,PT,,10.6
2010,A,0,C,A,N,SL_TLF_MANF,KG04,,PT,,2.4
2011,A,0,C,A,N,SL_TLF_MANF,KG04,,PT,,1.6
2012,A,0,C,A,N,SL_TLF_MANF,KG04,,PT,,1.6
2013,A,0,C,A,N,SL_TLF_MANF,KG04,,PT,,1.4
2014,A,0,C,A,N,SL_TLF_MANF,KG04,,PT,,0.9
2015,A,0,C,A,N,SL_TLF_MANF,KG04,,PT,,1.1
2016,A,0,C,A,N,SL_TLF_MANF,KG04,,PT,,1.4
2017,A,0,C,A,N,SL_TLF_MANF,KG04,,PT,,2.3
2018,A,0,C,A,N,SL_TLF_MANF,KG04,,PT,,3.9
2019,A,0,C,A,N,SL_TLF_MANF,KG04,,PT,,4.1
2010,A,0,C,A,N,SL_TLF_MANF,KG06,,PT,Until 2013 - including Osh.,6.3
2011,A,0,C,A,N,SL_TLF_MANF,KG06,,PT,Until 2013 - including Osh.,5.9
2012,A,0,C,A,N,SL_TLF_MANF,KG06,,PT,Until 2013 - including Osh.,5.4
2013,A,0,C,A,N,SL_TLF_MANF,KG06,,PT,Until 2013 - including Osh.,2.7
2014,A,0,C,A,N,SL_TLF_MANF,KG06,,PT,,2.8
2015,A,0,C,A,N,SL_TLF_MANF,KG06,,PT,,3.4
2016,A,0,C,A,N,SL_TLF_MANF,KG06,,PT,,3.3
2017,A,0,C,A,N,SL_TLF_MANF,KG06,,PT,,4.7
2018,A,0,C,A,N,SL_TLF_MANF,KG06,,PT,,6.7
2019,A,0,C,A,N,SL_TLF_MANF,KG06,,PT,,5.5
2010,A,0,C,A,N,SL_TLF_MANF,KG07,,PT,,2.6
2011,A,0,C,A,N,SL_TLF_MANF,KG07,,PT,,3.0
2012,A,0,C,A,N,SL_TLF_MANF,KG07,,PT,,3.1
2013,A,0,C,A,N,SL_TLF_MANF,KG07,,PT,,3.0
2014,A,0,C,A,N,SL_TLF_MANF,KG07,,PT,,2.2
2015,A,0,C,A,N,SL_TLF_MANF,KG07,,PT,,1.9
2016,A,0,C,A,N,SL_TLF_MANF,KG07,,PT,,2.1
2017,A,0,C,A,N,SL_TLF_MANF,KG07,,PT,,3.6
2018,A,0,C,A,N,SL_TLF_MANF,KG07,,PT,,3.8
2019,A,0,C,A,N,SL_TLF_MANF,KG07,,PT,,3.2
2010,A,0,C,A,N,SL_TLF_MANF,KG08,,PT,,14.3
2011,A,0,C,A,N,SL_TLF_MANF,KG08,,PT,,14.3
2012,A,0,C,A,N,SL_TLF_MANF,KG08,,PT,,14.8
2013,A,0,C,A,N,SL_TLF_MANF,KG08,,PT,,13.7
2014,A,0,C,A,N,SL_TLF_MANF,KG08,,PT,,13.7
2015,A,0,C,A,N,SL_TLF_MANF,KG08,,PT,,15.1
2016,A,0,C,A,N,SL_TLF_MANF,KG08,,PT,,16.0
2017,A,0,C,A,N,SL_TLF_MANF,KG08,,PT,,21.6
2018,A,0,C,A,N,SL_TLF_MANF,KG08,,PT,,21.4
2019,A,0,C,A,N,SL_TLF_MANF,KG08,,PT,,20.3
2010,A,0,C,A,N,SL_TLF_MANF,KG11,,PT,,14.5
2011,A,0,C,A,N,SL_TLF_MANF,KG11,,PT,,13.6
2012,A,0,C,A,N,SL_TLF_MANF,KG11,,PT,,12.8
2013,A,0,C,A,N,SL_TLF_MANF,KG11,,PT,,13.5
2014,A,0,C,A,N,SL_TLF_MANF,KG11,,PT,,13.5
2015,A,0,C,A,N,SL_TLF_MANF,KG11,,PT,,14.8
2016,A,0,C,A,N,SL_TLF_MANF,KG11,,PT,,15.4
2017,A,0,C,A,N,SL_TLF_MANF,KG11,,PT,,16.1
2018,A,0,C,A,N,SL_TLF_MANF,KG11,,PT,,16.4
2019,A,0,C,A,N,SL_TLF_MANF,KG11,,PT,,18.7
2013,A,0,C,A,N,SL_TLF_MANF,KG21,,PT,,7.5
2014,A,0,C,A,N,SL_TLF_MANF,KG21,,PT,,7.8
2015,A,0,C,A,N,SL_TLF_MANF,KG21,,PT,,5.1
2016,A,0,C,A,N,SL_TLF_MANF,KG21,,PT,,5.1
2017,A,0,C,A,N,SL_TLF_MANF,KG21,,PT,,7.6
2018,A,0,C,A,N,SL_TLF_MANF,KG21,,PT,,8.5
2019,A,0,C,A,N,SL_TLF_MANF,KG21,,PT,,8.9
2010,A,0,C,A,N,SL_TLF_MANF,KG,F,PT,,9.3
2011,A,0,C,A,N,SL_TLF_MANF,KG,F,PT,,8.8
2012,A,0,C,A,N,SL_TLF_MANF,KG,F,PT,,9.0
2013,A,0,C,A,N,SL_TLF_MANF,KG,F,PT,,8.8
2014,A,0,C,A,N,SL_TLF_MANF,KG,F,PT,,8.9
2015,A,0,C,A,N,SL_TLF_MANF,KG,F,PT,,8.4
2016,A,0,C,A,N,SL_TLF_MANF,KG,F,PT,,9.1
2017,A,0,C,A,N,SL_TLF_MANF,KG,F,PT,,11.3
2018,A,0,C,A,N,SL_TLF_MANF,KG,F,PT,,12.5
2019,A,0,C,A,N,SL_TLF_MANF,KG,F,PT,,12.5
2010,A,0,C,A,N,SL_TLF_MANF,KG,M,PT,,6.7
2011,A,0,C,A,N,SL_TLF_MANF,KG,M,PT,,6.8
2012,A,0,C,A,N,SL_TLF_MANF,KG,M,PT,,6.6
2013,A,0,C,A,N,SL_TLF_MANF,KG,M,PT,,5.7
2014,A,0,C,A,N,SL_TLF_MANF,KG,M,PT,,5.6
2015,A,0,C,A,N,SL_TLF_MANF,KG,M,PT,,6.7
2016,A,0,C,A,N,SL_TLF_MANF,KG,M,PT,,6.7
2017,A,0,C,A,N,SL_TLF_MANF,KG,M,PT,,9.3
2018,A,0,C,A,N,SL_TLF_MANF,KG,M,PT,,11.7
2019,A,0,C,A,N,SL_TLF_MANF,KG,M,PT,,11.4
