Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2007,A,0,C,A,N,_L_KG_010301_1C2,KG,PT,8.277782
2008,A,0,C,A,N,_L_KG_010301_1C2,KG,PT,6.836681
2009,A,0,C,A,N,_L_KG_010301_1C2,KG,PT,6.915016
2010,A,0,C,A,N,_L_KG_010301_1C2,KG,PT,6.6
2011,A,0,C,A,N,_L_KG_010301_1C2,KG,PT,6.879721
2012,A,0,C,A,N,_L_KG_010301_1C2,KG,PT,6.187625
2013,A,0,C,A,N,_L_KG_010301_1C2,KG,PT,5.8
2014,A,0,C,A,N,_L_KG_010301_1C2,KG,PT,5.3
2015,A,0,C,A,N,_L_KG_010301_1C2,KG,PT,5.1
2016,A,0,C,A,N,_L_KG_010301_1C2,KG,PT,4.5
2017,A,0,C,A,N,_L_KG_010301_1C2,KG,PT,4.7
2018,A,0,C,A,N,_L_KG_010301_1C2,KG,PT,4.5
2019,A,0,C,A,N,_L_KG_010301_1C2,KG,PT,4.7
