Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2007,A,0,C,A,N,VC_DSR_MORT,KG,,NUMBER,93
2008,A,0,C,A,N,VC_DSR_MORT,KG,,NUMBER,281
2009,A,0,C,A,N,VC_DSR_MORT,KG,,NUMBER,71
2010,A,0,C,A,N,VC_DSR_MORT,KG,,NUMBER,158
2011,A,0,C,A,N,VC_DSR_MORT,KG,,NUMBER,140
2012,A,0,C,A,N,VC_DSR_MORT,KG,,NUMBER,99
2013,A,0,C,A,N,VC_DSR_MORT,KG,,NUMBER,95
2014,A,0,C,A,N,VC_DSR_MORT,KG,,NUMBER,62
2015,A,0,C,A,N,VC_DSR_MORT,KG,,NUMBER,53
2016,A,0,C,A,N,VC_DSR_MORT,KG,,NUMBER,47
2017,A,0,C,A,N,VC_DSR_MORT,KG,,NUMBER,141
2018,A,0,C,A,N,VC_DSR_MORT,KG,,NUMBER,18
2019,A,0,C,A,N,VC_DSR_MORT,KG,,NUMBER,17
2007,A,0,C,A,N,VC_DSR_MORT,KG,M,NUMBER,74
2008,A,0,C,A,N,VC_DSR_MORT,KG,M,NUMBER,184
2009,A,0,C,A,N,VC_DSR_MORT,KG,M,NUMBER,48
2010,A,0,C,A,N,VC_DSR_MORT,KG,M,NUMBER,106
2011,A,0,C,A,N,VC_DSR_MORT,KG,M,NUMBER,93
2012,A,0,C,A,N,VC_DSR_MORT,KG,M,NUMBER,65
2013,A,0,C,A,N,VC_DSR_MORT,KG,M,NUMBER,62
2014,A,0,C,A,N,VC_DSR_MORT,KG,M,NUMBER,39
2015,A,0,C,A,N,VC_DSR_MORT,KG,M,NUMBER,33
2016,A,0,C,A,N,VC_DSR_MORT,KG,M,NUMBER,37
2017,A,0,C,A,N,VC_DSR_MORT,KG,M,NUMBER,85
2018,A,0,C,A,N,VC_DSR_MORT,KG,M,NUMBER,14
2019,A,0,C,A,N,VC_DSR_MORT,KG,M,NUMBER,8
2007,A,0,C,A,N,VC_DSR_MORT,KG,F,NUMBER,19
2008,A,0,C,A,N,VC_DSR_MORT,KG,F,NUMBER,97
2009,A,0,C,A,N,VC_DSR_MORT,KG,F,NUMBER,23
2010,A,0,C,A,N,VC_DSR_MORT,KG,F,NUMBER,52
2011,A,0,C,A,N,VC_DSR_MORT,KG,F,NUMBER,47
2012,A,0,C,A,N,VC_DSR_MORT,KG,F,NUMBER,34
2013,A,0,C,A,N,VC_DSR_MORT,KG,F,NUMBER,33
2014,A,0,C,A,N,VC_DSR_MORT,KG,F,NUMBER,23
2015,A,0,C,A,N,VC_DSR_MORT,KG,F,NUMBER,20
2016,A,0,C,A,N,VC_DSR_MORT,KG,F,NUMBER,10
2017,A,0,C,A,N,VC_DSR_MORT,KG,F,NUMBER,56
2018,A,0,C,A,N,VC_DSR_MORT,KG,F,NUMBER,4
2019,A,0,C,A,N,VC_DSR_MORT,KG,F,NUMBER,9
2007,A,0,C,A,N,VC_DSR_MORT,KG05,,NUMBER,8
2008,A,0,C,A,N,VC_DSR_MORT,KG05,,NUMBER,9
2010,A,0,C,A,N,VC_DSR_MORT,KG05,,NUMBER,15
2011,A,0,C,A,N,VC_DSR_MORT,KG05,,NUMBER,7
2012,A,0,C,A,N,VC_DSR_MORT,KG05,,NUMBER,9
2013,A,0,C,A,N,VC_DSR_MORT,KG05,,NUMBER,3
2014,A,0,C,A,N,VC_DSR_MORT,KG05,,NUMBER,3
2015,A,0,C,A,N,VC_DSR_MORT,KG05,,NUMBER,1
2016,A,0,C,A,N,VC_DSR_MORT,KG05,,NUMBER,9
2019,A,0,C,A,N,VC_DSR_MORT,KG05,,NUMBER,6
2007,A,0,C,A,N,VC_DSR_MORT,KG05,M,NUMBER,6
2008,A,0,C,A,N,VC_DSR_MORT,KG05,M,NUMBER,9
2010,A,0,C,A,N,VC_DSR_MORT,KG05,M,NUMBER,11
2011,A,0,C,A,N,VC_DSR_MORT,KG05,M,NUMBER,4
2012,A,0,C,A,N,VC_DSR_MORT,KG05,M,NUMBER,7
2013,A,0,C,A,N,VC_DSR_MORT,KG05,M,NUMBER,3
2014,A,0,C,A,N,VC_DSR_MORT,KG05,M,NUMBER,3
2015,A,0,C,A,N,VC_DSR_MORT,KG05,M,NUMBER,1
2016,A,0,C,A,N,VC_DSR_MORT,KG05,M,NUMBER,7
2019,A,0,C,A,N,VC_DSR_MORT,KG05,M,NUMBER,4
2007,A,0,C,A,N,VC_DSR_MORT,KG05,F,NUMBER,2
2010,A,0,C,A,N,VC_DSR_MORT,KG05,F,NUMBER,4
2011,A,0,C,A,N,VC_DSR_MORT,KG05,F,NUMBER,3
2012,A,0,C,A,N,VC_DSR_MORT,KG05,F,NUMBER,2
2016,A,0,C,A,N,VC_DSR_MORT,KG05,F,NUMBER,2
2019,A,0,C,A,N,VC_DSR_MORT,KG05,F,NUMBER,2
2007,A,0,C,A,N,VC_DSR_MORT,KG03,,NUMBER,5
2008,A,0,C,A,N,VC_DSR_MORT,KG03,,NUMBER,25
2009,A,0,C,A,N,VC_DSR_MORT,KG03,,NUMBER,39
2010,A,0,C,A,N,VC_DSR_MORT,KG03,,NUMBER,32
2011,A,0,C,A,N,VC_DSR_MORT,KG03,,NUMBER,35
2012,A,0,C,A,N,VC_DSR_MORT,KG03,,NUMBER,33
2013,A,0,C,A,N,VC_DSR_MORT,KG03,,NUMBER,31
2014,A,0,C,A,N,VC_DSR_MORT,KG03,,NUMBER,17
2015,A,0,C,A,N,VC_DSR_MORT,KG03,,NUMBER,11
2016,A,0,C,A,N,VC_DSR_MORT,KG03,,NUMBER,13
2017,A,0,C,A,N,VC_DSR_MORT,KG03,,NUMBER,43
2018,A,0,C,A,N,VC_DSR_MORT,KG03,,NUMBER,4
2007,A,0,C,A,N,VC_DSR_MORT,KG03,M,NUMBER,5
2008,A,0,C,A,N,VC_DSR_MORT,KG03,M,NUMBER,18
2009,A,0,C,A,N,VC_DSR_MORT,KG03,M,NUMBER,27
2010,A,0,C,A,N,VC_DSR_MORT,KG03,M,NUMBER,21
2011,A,0,C,A,N,VC_DSR_MORT,KG03,M,NUMBER,27
2012,A,0,C,A,N,VC_DSR_MORT,KG03,M,NUMBER,17
2013,A,0,C,A,N,VC_DSR_MORT,KG03,M,NUMBER,22
2014,A,0,C,A,N,VC_DSR_MORT,KG03,M,NUMBER,11
2015,A,0,C,A,N,VC_DSR_MORT,KG03,M,NUMBER,5
2016,A,0,C,A,N,VC_DSR_MORT,KG03,M,NUMBER,9
2017,A,0,C,A,N,VC_DSR_MORT,KG03,M,NUMBER,29
2018,A,0,C,A,N,VC_DSR_MORT,KG03,M,NUMBER,4
2008,A,0,C,A,N,VC_DSR_MORT,KG03,F,NUMBER,7
2009,A,0,C,A,N,VC_DSR_MORT,KG03,F,NUMBER,12
2010,A,0,C,A,N,VC_DSR_MORT,KG03,F,NUMBER,11
2011,A,0,C,A,N,VC_DSR_MORT,KG03,F,NUMBER,8
2012,A,0,C,A,N,VC_DSR_MORT,KG03,F,NUMBER,16
2013,A,0,C,A,N,VC_DSR_MORT,KG03,F,NUMBER,9
2014,A,0,C,A,N,VC_DSR_MORT,KG03,F,NUMBER,6
2015,A,0,C,A,N,VC_DSR_MORT,KG03,F,NUMBER,6
2016,A,0,C,A,N,VC_DSR_MORT,KG03,F,NUMBER,4
2017,A,0,C,A,N,VC_DSR_MORT,KG03,F,NUMBER,14
2007,A,0,C,A,N,VC_DSR_MORT,KG02,,NUMBER,14
2008,A,0,C,A,N,VC_DSR_MORT,KG02,,NUMBER,42
2009,A,0,C,A,N,VC_DSR_MORT,KG02,,NUMBER,11
2010,A,0,C,A,N,VC_DSR_MORT,KG02,,NUMBER,15
2011,A,0,C,A,N,VC_DSR_MORT,KG02,,NUMBER,17
2012,A,0,C,A,N,VC_DSR_MORT,KG02,,NUMBER,4
2013,A,0,C,A,N,VC_DSR_MORT,KG02,,NUMBER,21
2014,A,0,C,A,N,VC_DSR_MORT,KG02,,NUMBER,25
2015,A,0,C,A,N,VC_DSR_MORT,KG02,,NUMBER,6
2016,A,0,C,A,N,VC_DSR_MORT,KG02,,NUMBER,2
2017,A,0,C,A,N,VC_DSR_MORT,KG02,,NUMBER,6
2018,A,0,C,A,N,VC_DSR_MORT,KG02,,NUMBER,2
2019,A,0,C,A,N,VC_DSR_MORT,KG02,,NUMBER,5
2007,A,0,C,A,N,VC_DSR_MORT,KG02,M,NUMBER,10
2008,A,0,C,A,N,VC_DSR_MORT,KG02,M,NUMBER,26
2009,A,0,C,A,N,VC_DSR_MORT,KG02,M,NUMBER,7
2010,A,0,C,A,N,VC_DSR_MORT,KG02,M,NUMBER,10
2011,A,0,C,A,N,VC_DSR_MORT,KG02,M,NUMBER,9
2012,A,0,C,A,N,VC_DSR_MORT,KG02,M,NUMBER,4
2013,A,0,C,A,N,VC_DSR_MORT,KG02,M,NUMBER,13
2014,A,0,C,A,N,VC_DSR_MORT,KG02,M,NUMBER,16
2015,A,0,C,A,N,VC_DSR_MORT,KG02,M,NUMBER,5
2016,A,0,C,A,N,VC_DSR_MORT,KG02,M,NUMBER,1
2017,A,0,C,A,N,VC_DSR_MORT,KG02,M,NUMBER,6
2018,A,0,C,A,N,VC_DSR_MORT,KG02,M,NUMBER,1
2019,A,0,C,A,N,VC_DSR_MORT,KG02,M,NUMBER,2
2007,A,0,C,A,N,VC_DSR_MORT,KG02,F,NUMBER,4
2008,A,0,C,A,N,VC_DSR_MORT,KG02,F,NUMBER,16
2009,A,0,C,A,N,VC_DSR_MORT,KG02,F,NUMBER,4
