Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2007,A,0,C,A,N,_L_KG_160104_A2,KG,PT,12.682241
2008,A,0,C,A,N,_L_KG_160104_A2,KG,PT,11.85677
2009,A,0,C,A,N,_L_KG_160104_A2,KG,PT,11.505973
2010,A,0,C,A,N,_L_KG_160104_A2,KG,PT,10.442468
2011,A,0,C,A,N,_L_KG_160104_A2,KG,PT,11.743119
2012,A,0,C,A,N,_L_KG_160104_A2,KG,PT,11.831386
2013,A,0,C,A,N,_L_KG_160104_A2,KG,PT,12.209281
2014,A,0,C,A,N,_L_KG_160104_A2,KG,PT,11.581086
2015,A,0,C,A,N,_L_KG_160104_A2,KG,PT,10.209622
2016,A,0,C,A,N,_L_KG_160104_A2,KG,PT,10.170663
2017,A,0,C,A,N,_L_KG_160104_A2,KG,PT,9.727135
2018,A,0,C,A,N,_L_KG_160104_A2,KG,PT,20.734908
2019,A,0,C,A,N,_L_KG_160104_A2,KG,PT,8.555572
2007,A,0,C,A,N,_L_KG_160104_A2,KG05,PT,14.521452
2008,A,0,C,A,N,_L_KG_160104_A2,KG05,PT,16.4
2009,A,0,C,A,N,_L_KG_160104_A2,KG05,PT,14.425428
2010,A,0,C,A,N,_L_KG_160104_A2,KG05,PT,14.469914
2011,A,0,C,A,N,_L_KG_160104_A2,KG05,PT,13.604488
2012,A,0,C,A,N,_L_KG_160104_A2,KG05,PT,11.659808
2013,A,0,C,A,N,_L_KG_160104_A2,KG05,PT,10.513141
2014,A,0,C,A,N,_L_KG_160104_A2,KG05,PT,10.607867
2015,A,0,C,A,N,_L_KG_160104_A2,KG05,PT,9.737418
2016,A,0,C,A,N,_L_KG_160104_A2,KG05,PT,9.543011
2017,A,0,C,A,N,_L_KG_160104_A2,KG05,PT,7.394366
2018,A,0,C,A,N,_L_KG_160104_A2,KG05,PT,16.6215
2019,A,0,C,A,N,_L_KG_160104_A2,KG05,PT,7.560756
2007,A,0,C,A,N,_L_KG_160104_A2,KG03,PT,11.271676
2008,A,0,C,A,N,_L_KG_160104_A2,KG03,PT,11.738535
2009,A,0,C,A,N,_L_KG_160104_A2,KG03,PT,10.985825
2010,A,0,C,A,N,_L_KG_160104_A2,KG03,PT,9.550419
2011,A,0,C,A,N,_L_KG_160104_A2,KG03,PT,13.407222
2012,A,0,C,A,N,_L_KG_160104_A2,KG03,PT,13.228863
2013,A,0,C,A,N,_L_KG_160104_A2,KG03,PT,14.223455
2014,A,0,C,A,N,_L_KG_160104_A2,KG03,PT,13.31045
2015,A,0,C,A,N,_L_KG_160104_A2,KG03,PT,12.970219
2016,A,0,C,A,N,_L_KG_160104_A2,KG03,PT,11.583637
2017,A,0,C,A,N,_L_KG_160104_A2,KG03,PT,10.880196
2018,A,0,C,A,N,_L_KG_160104_A2,KG03,PT,14.846672
2019,A,0,C,A,N,_L_KG_160104_A2,KG03,PT,18.242711
2007,A,0,C,A,N,_L_KG_160104_A2,KG02,PT,8.540686
2008,A,0,C,A,N,_L_KG_160104_A2,KG02,PT,8.259986
2009,A,0,C,A,N,_L_KG_160104_A2,KG02,PT,9.315589
2010,A,0,C,A,N,_L_KG_160104_A2,KG02,PT,8.22112
2011,A,0,C,A,N,_L_KG_160104_A2,KG02,PT,8.420239
2012,A,0,C,A,N,_L_KG_160104_A2,KG02,PT,8.84919
2013,A,0,C,A,N,_L_KG_160104_A2,KG02,PT,9.235528
2014,A,0,C,A,N,_L_KG_160104_A2,KG02,PT,9.274194
2015,A,0,C,A,N,_L_KG_160104_A2,KG02,PT,9.147425
2016,A,0,C,A,N,_L_KG_160104_A2,KG02,PT,10.567515
2017,A,0,C,A,N,_L_KG_160104_A2,KG02,PT,10.426321
2018,A,0,C,A,N,_L_KG_160104_A2,KG02,PT,15.030146
2019,A,0,C,A,N,_L_KG_160104_A2,KG02,PT,10.464548
2007,A,0,C,A,N,_L_KG_160104_A2,KG04,PT,10.864198
2008,A,0,C,A,N,_L_KG_160104_A2,KG04,PT,9.78836
2009,A,0,C,A,N,_L_KG_160104_A2,KG04,PT,11.829436
2010,A,0,C,A,N,_L_KG_160104_A2,KG04,PT,11.290323
2011,A,0,C,A,N,_L_KG_160104_A2,KG04,PT,12.066574
2012,A,0,C,A,N,_L_KG_160104_A2,KG04,PT,15.660685
2013,A,0,C,A,N,_L_KG_160104_A2,KG04,PT,16.021127
2014,A,0,C,A,N,_L_KG_160104_A2,KG04,PT,15.99297
2015,A,0,C,A,N,_L_KG_160104_A2,KG04,PT,13.204509
2016,A,0,C,A,N,_L_KG_160104_A2,KG04,PT,8.777429
2017,A,0,C,A,N,_L_KG_160104_A2,KG04,PT,6.107955
2018,A,0,C,A,N,_L_KG_160104_A2,KG04,PT,16.91678
2019,A,0,C,A,N,_L_KG_160104_A2,KG04,PT,11.142322
2007,A,0,C,A,N,_L_KG_160104_A2,KG06,PT,16.491228
2008,A,0,C,A,N,_L_KG_160104_A2,KG06,PT,15.367483
2009,A,0,C,A,N,_L_KG_160104_A2,KG06,PT,13.901531
2010,A,0,C,A,N,_L_KG_160104_A2,KG06,PT,9.337676
2011,A,0,C,A,N,_L_KG_160104_A2,KG06,PT,15.801457
2012,A,0,C,A,N,_L_KG_160104_A2,KG06,PT,15.308989
2013,A,0,C,A,N,_L_KG_160104_A2,KG06,PT,13.977567
2014,A,0,C,A,N,_L_KG_160104_A2,KG06,PT,13.731473
2015,A,0,C,A,N,_L_KG_160104_A2,KG06,PT,12.995781
2016,A,0,C,A,N,_L_KG_160104_A2,KG06,PT,13.668061
2017,A,0,C,A,N,_L_KG_160104_A2,KG06,PT,13.422509
2018,A,0,C,A,N,_L_KG_160104_A2,KG06,PT,18.432574
2019,A,0,C,A,N,_L_KG_160104_A2,KG06,PT,4.635762
2007,A,0,C,A,N,_L_KG_160104_A2,KG07,PT,14.364035
2008,A,0,C,A,N,_L_KG_160104_A2,KG07,PT,10.358566
2009,A,0,C,A,N,_L_KG_160104_A2,KG07,PT,9.846154
2010,A,0,C,A,N,_L_KG_160104_A2,KG07,PT,12.527233
2011,A,0,C,A,N,_L_KG_160104_A2,KG07,PT,12.529002
2012,A,0,C,A,N,_L_KG_160104_A2,KG07,PT,12.204234
2013,A,0,C,A,N,_L_KG_160104_A2,KG07,PT,12.035851
2014,A,0,C,A,N,_L_KG_160104_A2,KG07,PT,10.376135
2015,A,0,C,A,N,_L_KG_160104_A2,KG07,PT,10.504775
2016,A,0,C,A,N,_L_KG_160104_A2,KG07,PT,5.898876
2017,A,0,C,A,N,_L_KG_160104_A2,KG07,PT,5.3125
2018,A,0,C,A,N,_L_KG_160104_A2,KG07,PT,10.169492
2019,A,0,C,A,N,_L_KG_160104_A2,KG07,PT,21.302578
2007,A,0,C,A,N,_L_KG_160104_A2,KG08,PT,5.955414
2008,A,0,C,A,N,_L_KG_160104_A2,KG08,PT,5.909974
2009,A,0,C,A,N,_L_KG_160104_A2,KG08,PT,6.102396
2010,A,0,C,A,N,_L_KG_160104_A2,KG08,PT,5.576827
2011,A,0,C,A,N,_L_KG_160104_A2,KG08,PT,5.305596
2012,A,0,C,A,N,_L_KG_160104_A2,KG08,PT,5.752841
2013,A,0,C,A,N,_L_KG_160104_A2,KG08,PT,5.859081
2014,A,0,C,A,N,_L_KG_160104_A2,KG08,PT,5.610561
2015,A,0,C,A,N,_L_KG_160104_A2,KG08,PT,4.5309
2016,A,0,C,A,N,_L_KG_160104_A2,KG08,PT,5.81876
2017,A,0,C,A,N,_L_KG_160104_A2,KG08,PT,6.0367
2018,A,0,C,A,N,_L_KG_160104_A2,KG08,PT,10.008187
2019,A,0,C,A,N,_L_KG_160104_A2,KG08,PT,4.92865
2007,A,0,C,A,N,_L_KG_160104_A2,KG11,PT,17.506545
2008,A,0,C,A,N,_L_KG_160104_A2,KG11,PT,15.300865
2009,A,0,C,A,N,_L_KG_160104_A2,KG11,PT,14.217706
2010,A,0,C,A,N,_L_KG_160104_A2,KG11,PT,15.744136
2011,A,0,C,A,N,_L_KG_160104_A2,KG11,PT,14.394252
2012,A,0,C,A,N,_L_KG_160104_A2,KG11,PT,14.448038
2013,A,0,C,A,N,_L_KG_160104_A2,KG11,PT,15.28626
