Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2007,A,0,C,A,N,GR_G14_GDP,KG,,PT,25.4
2008,A,0,C,A,N,GR_G14_GDP,KG,,PT,24.8
2009,A,0,C,A,N,GR_G14_GDP,KG,,PT,27.6
2010,A,0,C,A,N,GR_G14_GDP,KG,,PT,26.3
2011,A,0,C,A,N,GR_G14_GDP,KG,,PT,27.2
2012,A,0,C,A,N,GR_G14_GDP,KG,,PT,28.0
2013,A,0,C,A,N,GR_G14_GDP,KG,,PT,28.7
2014,A,0,C,A,N,GR_G14_GDP,KG,,PT,29.8
2015,A,0,C,A,N,GR_G14_GDP,KG,,PT,29.8
2016,A,0,C,A,N,GR_G14_GDP,KG,,PT,27.4
2017,A,0,C,A,N,GR_G14_GDP,KG,,PT,28.2
2018,A,0,C,A,N,GR_G14_GDP,KG,,PT,26.6
2019,A,0,C,A,N,GR_G14_GDP,KG,,PT,28.4
2007,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_TAX,PT,18.7
2008,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_TAX,PT,19.1
2009,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_TAX,PT,17.9
2010,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_TAX,PT,17.9
2011,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_TAX,PT,18.5
2012,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_TAX,PT,20.6
2013,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_TAX,PT,20.5
2014,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_TAX,PT,20.6
2015,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_TAX,PT,19.7
2016,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_TAX,PT,19.7
2017,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_TAX,PT,19.5
2018,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_TAX,PT,20.5
2019,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_TAX,PT,20.6
2016,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_CONT_DED,PT,0.0
2017,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_CONT_DED,PT,0.5
2007,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_OFF_TRANS,PT,1.3
2008,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_OFF_TRANS,PT,0.7
2009,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_OFF_TRANS,PT,5.1
2010,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_OFF_TRANS,PT,3.2
2011,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_OFF_TRANS,PT,3.1
2012,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_OFF_TRANS,PT,1.8
2013,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_OFF_TRANS,PT,2.6
2014,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_OFF_TRANS,PT,2.5
2015,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_OFF_TRANS,PT,2.2
2016,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_OFF_TRANS,PT,2.1
2017,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_OFF_TRANS,PT,2.5
2018,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_OFF_TRANS,PT,1.6
2019,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_OFF_TRANS,PT,2.3
2007,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_NON_TAX,PT,5.1
2008,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_NON_TAX,PT,4.4
2009,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_NON_TAX,PT,4.5
2010,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_NON_TAX,PT,5.0
2011,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_NON_TAX,PT,5.5
2012,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_NON_TAX,PT,5.6
2013,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_NON_TAX,PT,5.6
2014,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_NON_TAX,PT,6.7
2015,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_NON_TAX,PT,8.0
2016,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_NON_TAX,PT,5.6
2017,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_NON_TAX,PT,5.7
2018,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_NON_TAX,PT,4.5
2019,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_NON_TAX,PT,5.5
2007,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_NON_FIN,PT,0.3
2008,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_NON_FIN,PT,0.6
2009,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_NON_FIN,PT,0.1
2010,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_NON_FIN,PT,0.3
2011,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_NON_FIN,PT,0.2
2012,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_NON_FIN,PT,0.1
2013,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_NON_FIN,PT,0.0
2014,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_NON_FIN,PT,0.0
2015,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_NON_FIN,PT,0.0
2016,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_NON_FIN,PT,0.0
2017,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_NON_FIN,PT,0.0
2018,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_NON_FIN,PT,0.0
2019,A,0,C,A,N,GR_G14_GDP,KG,_L_INC_NON_FIN,PT,0.0
