Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2012,A,0,C,*according to the SCITC KR,A,N,IT_NET_BBNDN,KG,IS_256KT2M,NUMBER,222330
2013,A,0,C,*according to the SCITC KR,A,N,IT_NET_BBNDN,KG,IS_256KT2M,NUMBER,778770
2014,A,0,C,*according to the SCITC KR,A,N,IT_NET_BBNDN,KG,IS_256KT2M,NUMBER,1056800
2015,A,0,C,*according to the SCITC KR,A,N,IT_NET_BBNDN,KG,IS_256KT2M,NUMBER,464080
2016,A,0,C,*according to the SCITC KR,A,N,IT_NET_BBNDN,KG,IS_256KT2M,NUMBER,273170
2017,A,0,C,*according to the SCITC KR,A,N,IT_NET_BBNDN,KG,IS_256KT2M,NUMBER,274280
2018,A,0,C,*according to the SCITC KR,A,N,IT_NET_BBNDN,KG,IS_256KT2M,NUMBER,125210
2019,A,0,C,*according to the SCITC KR,A,N,IT_NET_BBNDN,KG,IS_256KT2M,NUMBER,205560
2012,A,0,C,*according to the SCITC KR,A,N,IT_NET_BBNDN,KG,IS_2MT10M,NUMBER,65300
2013,A,0,C,*according to the SCITC KR,A,N,IT_NET_BBNDN,KG,IS_2MT10M,NUMBER,439430
2014,A,0,C,*according to the SCITC KR,A,N,IT_NET_BBNDN,KG,IS_2MT10M,NUMBER,653450
2015,A,0,C,*according to the SCITC KR,A,N,IT_NET_BBNDN,KG,IS_2MT10M,NUMBER,593770
2016,A,0,C,*according to the SCITC KR,A,N,IT_NET_BBNDN,KG,IS_2MT10M,NUMBER,918340
2017,A,0,C,*according to the SCITC KR,A,N,IT_NET_BBNDN,KG,IS_2MT10M,NUMBER,1017860
2018,A,0,C,*according to the SCITC KR,A,N,IT_NET_BBNDN,KG,IS_2MT10M,NUMBER,730990
2019,A,0,C,*according to the SCITC KR,A,N,IT_NET_BBNDN,KG,IS_2MT10M,NUMBER,1749880
2012,A,0,C,*according to the SCITC KR,A,N,IT_NET_BBNDN,KG,IS_GE10M,NUMBER,193510
2013,A,0,C,*according to the SCITC KR,A,N,IT_NET_BBNDN,KG,IS_GE10M,NUMBER,140650
2014,A,0,C,*according to the SCITC KR,A,N,IT_NET_BBNDN,KG,IS_GE10M,NUMBER,140320
2015,A,0,C,*according to the SCITC KR,A,N,IT_NET_BBNDN,KG,IS_GE10M,NUMBER,1057390
2016,A,0,C,*according to the SCITC KR,A,N,IT_NET_BBNDN,KG,IS_GE10M,NUMBER,1150470
2017,A,0,C,*according to the SCITC KR,A,N,IT_NET_BBNDN,KG,IS_GE10M,NUMBER,1287990
2018,A,0,C,*according to the SCITC KR,A,N,IT_NET_BBNDN,KG,IS_GE10M,NUMBER,696620
2019,A,0,C,*according to the SCITC KR,A,N,IT_NET_BBNDN,KG,IS_GE10M,NUMBER,735470
