Year,OBS_STATUS,UNIT_MULT,NATURE,COMMENT_OBS,FREQ,REPORTING_TYPE,SERIES,REF_AREA,AGE,UNIT_MEASURE,Value
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,SH_STA_WAST,KG,Y0T4,PT,2.8
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SH_STA_WAST,KG,Y0T4,PT,2.0
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,SH_STA_WAST,KG05,Y0T4,PT,2.2
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SH_STA_WAST,KG05,Y0T4,PT,2.3
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,SH_STA_WAST,KG03,Y0T4,PT,7.9
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SH_STA_WAST,KG03,Y0T4,PT,3.8
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,SH_STA_WAST,KG02,Y0T4,PT,1.7
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SH_STA_WAST,KG02,Y0T4,PT,2.1
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,SH_STA_WAST,KG04,Y0T4,PT,0.5
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SH_STA_WAST,KG04,Y0T4,PT,1.1
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,SH_STA_WAST,KG06,Y0T4,PT,1.1
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SH_STA_WAST,KG06,Y0T4,PT,1.6
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,SH_STA_WAST,KG07,Y0T4,PT,1.0
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SH_STA_WAST,KG07,Y0T4,PT,2.9
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,SH_STA_WAST,KG08,Y0T4,PT,1.5
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SH_STA_WAST,KG08,Y0T4,PT,1.5
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,SH_STA_WAST,KG11,Y0T4,PT,2.1
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SH_STA_WAST,KG11,Y0T4,PT,0.6
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,SH_STA_WAST,KG21,Y0T4,PT,2.4
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SH_STA_WAST,KG21,Y0T4,PT,1.8
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,SN_STA_OVWGT,KG,Y0T4,PT,7.0
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SN_STA_OVWGT,KG,Y0T4,PT,6.9
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,SN_STA_OVWGT,KG05,Y0T4,PT,3.4
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SN_STA_OVWGT,KG05,Y0T4,PT,6.9
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,SN_STA_OVWGT,KG03,Y0T4,PT,8.7
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SN_STA_OVWGT,KG03,Y0T4,PT,8.9
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,SN_STA_OVWGT,KG02,Y0T4,PT,7.8
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SN_STA_OVWGT,KG02,Y0T4,PT,4.6
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,SN_STA_OVWGT,KG04,Y0T4,PT,6.2
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SN_STA_OVWGT,KG04,Y0T4,PT,4.4
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,SN_STA_OVWGT,KG06,Y0T4,PT,4.7
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SN_STA_OVWGT,KG06,Y0T4,PT,5.3
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,SN_STA_OVWGT,KG07,Y0T4,PT,7.3
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SN_STA_OVWGT,KG07,Y0T4,PT,2.9
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,SN_STA_OVWGT,KG08,Y0T4,PT,9.0
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SN_STA_OVWGT,KG08,Y0T4,PT,11.7
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,SN_STA_OVWGT,KG11,Y0T4,PT,9.5
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SN_STA_OVWGT,KG11,Y0T4,PT,7.4
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,SN_STA_OVWGT,KG21,Y0T4,PT,4.3
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SN_STA_OVWGT,KG21,Y0T4,PT,3.3
