Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2007,A,0,C,A,N,AG_PRD_ORTIND,KG,IX,0.089219
2008,A,0,C,A,N,AG_PRD_ORTIND,KG,IX,0.06383
2009,A,0,C,A,N,AG_PRD_ORTIND,KG,IX,0.079787
2010,A,0,C,A,N,AG_PRD_ORTIND,KG,IX,0.068571
2011,A,0,C,A,N,AG_PRD_ORTIND,KG,IX,0.060241
2012,A,0,C,A,N,AG_PRD_ORTIND,KG,IX,0.048193
2013,A,0,C,A,N,AG_PRD_ORTIND,KG,IX,0.068493
2014,A,0,C,A,N,AG_PRD_ORTIND,KG,IX,0.061224
2015,A,0,C,A,N,AG_PRD_ORTIND,KG,IX,0.078571
2016,A,0,C,A,N,AG_PRD_ORTIND,KG,IX,0.078125
2017,A,0,C,A,N,AG_PRD_ORTIND,KG,IX,0.072
2018,A,0,C,A,N,AG_PRD_ORTIND,KG,IX,0.094
2019,A,0,C,A,N,AG_PRD_ORTIND,KG,IX,0.078476
