Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2007,A,0,C,A,N,_L_KG_020C01_1B,KG,PT,131.547158
2008,A,0,C,A,N,_L_KG_020C01_1B,KG,PT,120.913387
2009,A,0,C,A,N,_L_KG_020C01_1B,KG,PT,92.628335
2010,A,0,C,A,N,_L_KG_020C01_1B,KG,PT,127.019995
2011,A,0,C,A,N,_L_KG_020C01_1B,KG,PT,103.485746
2012,A,0,C,A,N,_L_KG_020C01_1B,KG,PT,104.494474
2013,A,0,C,A,N,_L_KG_020C01_1B,KG,PT,101.769602
2014,A,0,C,A,N,_L_KG_020C01_1B,KG,PT,113.857081
2015,A,0,C,A,N,_L_KG_020C01_1B,KG,PT,95.794976
2016,A,0,C,A,N,_L_KG_020C01_1B,KG,PT,94.980194
2017,A,0,C,A,N,_L_KG_020C01_1B,KG,PT,102.713332
2018,A,0,C,A,N,_L_KG_020C01_1B,KG,PT,97.394314
2019,A,0,C,A,N,_L_KG_020C01_1B,KG,PT,105.744831
2007,A,0,C,A,N,_L_KG_020C01_1B,KG05,PT,129.740223
2008,A,0,C,A,N,_L_KG_020C01_1B,KG05,PT,122.152556
2009,A,0,C,A,N,_L_KG_020C01_1B,KG05,PT,98.079552
2010,A,0,C,A,N,_L_KG_020C01_1B,KG05,PT,134.872599
2011,A,0,C,A,N,_L_KG_020C01_1B,KG05,PT,108.143261
2012,A,0,C,A,N,_L_KG_020C01_1B,KG05,PT,104.669453
2013,A,0,C,A,N,_L_KG_020C01_1B,KG05,PT,103.067841
2014,A,0,C,A,N,_L_KG_020C01_1B,KG05,PT,113.826871
2015,A,0,C,A,N,_L_KG_020C01_1B,KG05,PT,92.841081
2016,A,0,C,A,N,_L_KG_020C01_1B,KG05,PT,95.516291
2017,A,0,C,A,N,_L_KG_020C01_1B,KG05,PT,104.587578
2018,A,0,C,A,N,_L_KG_020C01_1B,KG05,PT,94.575897
2019,A,0,C,A,N,_L_KG_020C01_1B,KG05,PT,110.412587
2007,A,0,C,A,N,_L_KG_020C01_1B,KG03,PT,131.474644
2008,A,0,C,A,N,_L_KG_020C01_1B,KG03,PT,133.108773
2009,A,0,C,A,N,_L_KG_020C01_1B,KG03,PT,94.285732
2010,A,0,C,A,N,_L_KG_020C01_1B,KG03,PT,133.48734
2011,A,0,C,A,N,_L_KG_020C01_1B,KG03,PT,105.19525
2012,A,0,C,A,N,_L_KG_020C01_1B,KG03,PT,104.995426
2013,A,0,C,A,N,_L_KG_020C01_1B,KG03,PT,103.702848
2014,A,0,C,A,N,_L_KG_020C01_1B,KG03,PT,118.268743
2015,A,0,C,A,N,_L_KG_020C01_1B,KG03,PT,94.347779
2016,A,0,C,A,N,_L_KG_020C01_1B,KG03,PT,95.233819
2017,A,0,C,A,N,_L_KG_020C01_1B,KG03,PT,103.296213
2018,A,0,C,A,N,_L_KG_020C01_1B,KG03,PT,99.437848
2019,A,0,C,A,N,_L_KG_020C01_1B,KG03,PT,106.897463
2007,A,0,C,A,N,_L_KG_020C01_1B,KG02,PT,136.022851
2008,A,0,C,A,N,_L_KG_020C01_1B,KG02,PT,116.499725
2009,A,0,C,A,N,_L_KG_020C01_1B,KG02,PT,90.4746
2010,A,0,C,A,N,_L_KG_020C01_1B,KG02,PT,126.103007
2011,A,0,C,A,N,_L_KG_020C01_1B,KG02,PT,99.413814
2012,A,0,C,A,N,_L_KG_020C01_1B,KG02,PT,105.487767
2013,A,0,C,A,N,_L_KG_020C01_1B,KG02,PT,96.74539
2014,A,0,C,A,N,_L_KG_020C01_1B,KG02,PT,119.674506
2015,A,0,C,A,N,_L_KG_020C01_1B,KG02,PT,92.938571
2016,A,0,C,A,N,_L_KG_020C01_1B,KG02,PT,97.869284
2017,A,0,C,A,N,_L_KG_020C01_1B,KG02,PT,103.318964
2018,A,0,C,A,N,_L_KG_020C01_1B,KG02,PT,97.328443
2019,A,0,C,A,N,_L_KG_020C01_1B,KG02,PT,106.659795
2007,A,0,C,A,N,_L_KG_020C01_1B,KG04,PT,129.698247
2008,A,0,C,A,N,_L_KG_020C01_1B,KG04,PT,110.814902
2009,A,0,C,A,N,_L_KG_020C01_1B,KG04,PT,92.921575
2010,A,0,C,A,N,_L_KG_020C01_1B,KG04,PT,133.150078
