Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2007,A,0,C,A,N,SH_ACS_DTP3,KG,PT,94.1
2008,A,0,C,A,N,SH_ACS_DTP3,KG,PT,95.3
2009,A,0,C,A,N,SH_ACS_DTP3,KG,PT,95.4
2010,A,0,C,A,N,SH_ACS_DTP3,KG,PT,96.5
2011,A,0,C,A,N,SH_ACS_DTP3,KG,PT,95.1
2012,A,0,C,A,N,SH_ACS_DTP3,KG,PT,96.2
2013,A,0,C,A,N,SH_ACS_DTP3,KG,PT,96.9
2014,A,0,C,A,N,SH_ACS_DTP3,KG,PT,95.8
2015,A,0,C,A,N,SH_ACS_DTP3,KG,PT,96.6
2016,A,0,C,A,N,SH_ACS_DTP3,KG,PT,96.1
2017,A,0,C,A,N,SH_ACS_DTP3,KG,PT,93.4
2018,A,0,C,A,N,SH_ACS_DTP3,KG,PT,94.5
2019,A,0,C,A,N,SH_ACS_DTP3,KG,PT,94.351083
2007,A,0,C,A,N,SH_ACS_DTP3,KG05,PT,93.4
2008,A,0,C,A,N,SH_ACS_DTP3,KG05,PT,96.8
2009,A,0,C,A,N,SH_ACS_DTP3,KG05,PT,95.4
2010,A,0,C,A,N,SH_ACS_DTP3,KG05,PT,96.8
2011,A,0,C,A,N,SH_ACS_DTP3,KG05,PT,96.7
2012,A,0,C,A,N,SH_ACS_DTP3,KG05,PT,98.3
2013,A,0,C,A,N,SH_ACS_DTP3,KG05,PT,97.7
2014,A,0,C,A,N,SH_ACS_DTP3,KG05,PT,98.9
2015,A,0,C,A,N,SH_ACS_DTP3,KG05,PT,98.6
2016,A,0,C,A,N,SH_ACS_DTP3,KG05,PT,98.1
2017,A,0,C,A,N,SH_ACS_DTP3,KG05,PT,96.7
2018,A,0,C,A,N,SH_ACS_DTP3,KG05,PT,96.6
2019,A,0,C,A,N,SH_ACS_DTP3,KG05,PT,98.322619
2007,A,0,C,A,N,SH_ACS_DTP3,KG03,PT,93.6
2008,A,0,C,A,N,SH_ACS_DTP3,KG03,PT,95.6
2009,A,0,C,A,N,SH_ACS_DTP3,KG03,PT,95.9
2010,A,0,C,A,N,SH_ACS_DTP3,KG03,PT,95.9
2011,A,0,C,A,N,SH_ACS_DTP3,KG03,PT,94.2
2012,A,0,C,A,N,SH_ACS_DTP3,KG03,PT,95.9
2013,A,0,C,A,N,SH_ACS_DTP3,KG03,PT,97.8
2014,A,0,C,A,N,SH_ACS_DTP3,KG03,PT,94.8
2015,A,0,C,A,N,SH_ACS_DTP3,KG03,PT,96.1
2016,A,0,C,A,N,SH_ACS_DTP3,KG03,PT,95.8
2017,A,0,C,A,N,SH_ACS_DTP3,KG03,PT,93.8
2018,A,0,C,A,N,SH_ACS_DTP3,KG03,PT,96.1
2019,A,0,C,A,N,SH_ACS_DTP3,KG03,PT,90.174029
2007,A,0,C,A,N,SH_ACS_DTP3,KG02,PT,93.9
2008,A,0,C,A,N,SH_ACS_DTP3,KG02,PT,95.2
2009,A,0,C,A,N,SH_ACS_DTP3,KG02,PT,95.3
2010,A,0,C,A,N,SH_ACS_DTP3,KG02,PT,97.2
2011,A,0,C,A,N,SH_ACS_DTP3,KG02,PT,93.6
2012,A,0,C,A,N,SH_ACS_DTP3,KG02,PT,96.9
2013,A,0,C,A,N,SH_ACS_DTP3,KG02,PT,97.3
2014,A,0,C,A,N,SH_ACS_DTP3,KG02,PT,91.3
2015,A,0,C,A,N,SH_ACS_DTP3,KG02,PT,98.0
2016,A,0,C,A,N,SH_ACS_DTP3,KG02,PT,95.9
2017,A,0,C,A,N,SH_ACS_DTP3,KG02,PT,96.1
2018,A,0,C,A,N,SH_ACS_DTP3,KG02,PT,95.0
2019,A,0,C,A,N,SH_ACS_DTP3,KG02,PT,94.575714
2007,A,0,C,A,N,SH_ACS_DTP3,KG04,PT,94.4
2008,A,0,C,A,N,SH_ACS_DTP3,KG04,PT,95.2
2009,A,0,C,A,N,SH_ACS_DTP3,KG04,PT,95.3
2010,A,0,C,A,N,SH_ACS_DTP3,KG04,PT,96.8
2011,A,0,C,A,N,SH_ACS_DTP3,KG04,PT,95.5
2012,A,0,C,A,N,SH_ACS_DTP3,KG04,PT,97.4
2013,A,0,C,A,N,SH_ACS_DTP3,KG04,PT,98.0
2014,A,0,C,A,N,SH_ACS_DTP3,KG04,PT,97.6
2015,A,0,C,A,N,SH_ACS_DTP3,KG04,PT,97.2
2016,A,0,C,A,N,SH_ACS_DTP3,KG04,PT,96.8
2017,A,0,C,A,N,SH_ACS_DTP3,KG04,PT,97.0
2018,A,0,C,A,N,SH_ACS_DTP3,KG04,PT,94.8
2019,A,0,C,A,N,SH_ACS_DTP3,KG04,PT,97.59292
2007,A,0,C,A,N,SH_ACS_DTP3,KG06,PT,94.4
2008,A,0,C,A,N,SH_ACS_DTP3,KG06,PT,94.5
2009,A,0,C,A,N,SH_ACS_DTP3,KG06,PT,95.1
2010,A,0,C,A,N,SH_ACS_DTP3,KG06,PT,95.5
2011,A,0,C,A,N,SH_ACS_DTP3,KG06,PT,93.6
2012,A,0,C,A,N,SH_ACS_DTP3,KG06,PT,93.0
