Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2005,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,,NUMBER,2331
2006,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,,NUMBER,2083
2007,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,,NUMBER,2050
2008,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,,NUMBER,1833
2009,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,,NUMBER,1813
2010,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,,NUMBER,2178
2011,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,,NUMBER,2406
2012,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,,NUMBER,1920
2013,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,,NUMBER,1708
2014,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,,NUMBER,1453
2015,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,,NUMBER,1254
2016,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,,NUMBER,1469
2017,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,,NUMBER,1464
2018,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,,NUMBER,1622
2019,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,,NUMBER,1662
2005,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,_L_CSE_MATDIFF,NUMBER,295
2006,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,_L_CSE_MATDIFF,NUMBER,151
2007,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,_L_CSE_MATDIFF,NUMBER,154
2008,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,_L_CSE_MATDIFF,NUMBER,168
2009,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,_L_CSE_MATDIFF,NUMBER,94
2010,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,_L_CSE_MATDIFF,NUMBER,85
2011,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,_L_CSE_MATDIFF,NUMBER,226
2012,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,_L_CSE_MATDIFF,NUMBER,157
2013,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,_L_CSE_MATDIFF,NUMBER,55
2014,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,_L_CSE_MATDIFF,NUMBER,80
2015,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,_L_CSE_MATDIFF,NUMBER,80
2016,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,_L_CSE_MATDIFF,NUMBER,84
2017,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,_L_CSE_MATDIFF,NUMBER,99
2018,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,_L_CSE_MATDIFF,NUMBER,104
2019,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,_L_CSE_MATDIFF,NUMBER,152
2005,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,_L_CSE_PARENTS,NUMBER,86
2006,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,_L_CSE_PARENTS,NUMBER,128
2007,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,_L_CSE_PARENTS,NUMBER,116
2008,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,_L_CSE_PARENTS,NUMBER,74
2009,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,_L_CSE_PARENTS,NUMBER,55
2010,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,_L_CSE_PARENTS,NUMBER,151
2011,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,_L_CSE_PARENTS,NUMBER,72
2012,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,_L_CSE_PARENTS,NUMBER,27
2013,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,_L_CSE_PARENTS,NUMBER,32
2014,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,_L_CSE_PARENTS,NUMBER,3
2015,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,_L_CSE_PARENTS,NUMBER,16
2016,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,_L_CSE_PARENTS,NUMBER,17
2017,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,_L_CSE_PARENTS,NUMBER,24
2018,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,_L_CSE_PARENTS,NUMBER,39
2019,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,_L_CSE_PARENTS,NUMBER,4
2013,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,_L_CSE_NODOC,NUMBER,3
2014,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,_L_CSE_NODOC,NUMBER,1
2015,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,_L_CSE_NODOC,NUMBER,8
2016,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,_L_CSE_NODOC,NUMBER,3
2018,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,_L_CSE_NODOC,NUMBER,4
2005,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,_L_CSE_DOM,NUMBER,208
2006,A,0,C,A,N,_L_KG_040101_1A,KG,M,Y7T17,_L_CSE_DOM,NUMBER,140
