Year,OBS_STATUS,UNIT_MULT,NATURE,COMMENT_OBS,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2007,A,0,C,40.9,A,N,IC_GEN_MGTL,KG,F,PT,31.5
2008,A,0,C,40.9,A,N,IC_GEN_MGTL,KG,F,PT,31.9
2009,A,0,C,40.9,A,N,IC_GEN_MGTL,KG,F,PT,30.6
2010,A,0,C,40.9,A,N,IC_GEN_MGTL,KG,F,PT,32.3
2011,A,0,C,40.9,A,N,IC_GEN_MGTL,KG,F,PT,28.9
2012,A,0,C,40.9,A,N,IC_GEN_MGTL,KG,F,PT,32.3
2013,A,0,C,40.9,A,N,IC_GEN_MGTL,KG,F,PT,27.5
2014,A,0,C,40.9,A,N,IC_GEN_MGTL,KG,F,PT,33.4
2015,A,0,C,40.9,A,N,IC_GEN_MGTL,KG,F,PT,36.1
2016,A,0,C,40.9,A,N,IC_GEN_MGTL,KG,F,PT,34.9
2017,A,0,C,40.9,A,N,IC_GEN_MGTL,KG,F,PT,36.2
2018,A,0,C,40.9,A,N,IC_GEN_MGTL,KG,F,PT,37.9
2019,A,0,C,40.9,A,N,IC_GEN_MGTL,KG,F,PT,40.9
