Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,UNIT_MEASURE,Value
2018,A,0,C,A,N,IT_MOB_OWN,KG,,,,,,PT,91.8
2019,A,0,C,A,N,IT_MOB_OWN,KG,,,,,,PT,91.2
2018,A,0,C,A,N,IT_MOB_OWN,KG,,,U,,,PT,94.9
2019,A,0,C,A,N,IT_MOB_OWN,KG,,,U,,,PT,95.6
2018,A,0,C,A,N,IT_MOB_OWN,KG,,,R,,,PT,89.9
2019,A,0,C,A,N,IT_MOB_OWN,KG,,,R,,,PT,88.6
2018,A,0,C,A,N,IT_MOB_OWN,KG,M,,,,,PT,92.8
2019,A,0,C,A,N,IT_MOB_OWN,KG,M,,,,,PT,92.1
2018,A,0,C,A,N,IT_MOB_OWN,KG,F,,,,,PT,91.0
2019,A,0,C,A,N,IT_MOB_OWN,KG,F,,,,,PT,90.4
2018,A,0,C,A,N,IT_MOB_OWN,KG05,,,,,,PT,91.1
2019,A,0,C,A,N,IT_MOB_OWN,KG05,,,,,,PT,92.5
2018,A,0,C,A,N,IT_MOB_OWN,KG03,,,,,,PT,90.6
2019,A,0,C,A,N,IT_MOB_OWN,KG03,,,,,,PT,83.0
2018,A,0,C,A,N,IT_MOB_OWN,KG02,,,,,,PT,92.1
2019,A,0,C,A,N,IT_MOB_OWN,KG02,,,,,,PT,93.4
2018,A,0,C,A,N,IT_MOB_OWN,KG04,,,,,,PT,89.4
2019,A,0,C,A,N,IT_MOB_OWN,KG04,,,,,,PT,89.2
2018,A,0,C,A,N,IT_MOB_OWN,KG06,,,,,,PT,87.6
2019,A,0,C,A,N,IT_MOB_OWN,KG06,,,,,,PT,89.3
2018,A,0,C,A,N,IT_MOB_OWN,KG07,,,,,,PT,91.5
2019,A,0,C,A,N,IT_MOB_OWN,KG07,,,,,,PT,90.9
2018,A,0,C,A,N,IT_MOB_OWN,KG08,,,,,,PT,94.6
2019,A,0,C,A,N,IT_MOB_OWN,KG08,,,,,,PT,95.9
2018,A,0,C,A,N,IT_MOB_OWN,KG11,,,,,,PT,97.0
2019,A,0,C,A,N,IT_MOB_OWN,KG11,,,,,,PT,97.3
2018,A,0,C,A,N,IT_MOB_OWN,KG21,,,,,,PT,88.3
2019,A,0,C,A,N,IT_MOB_OWN,KG21,,,,,,PT,91.8
2018,A,0,C,A,N,IT_MOB_OWN,KG,,Y15T28,,,,PT,90.9
2019,A,0,C,A,N,IT_MOB_OWN,KG,,Y15T28,,,,PT,89.4
2018,A,0,C,A,N,IT_MOB_OWN,KG,,Y29T62,,,,PT,95.9
2019,A,0,C,A,N,IT_MOB_OWN,KG,,Y29T62,,,,PT,95.3
2018,A,0,C,A,N,IT_MOB_OWN,KG,,Y_GE58,,,,PT,78.8
2019,A,0,C,A,N,IT_MOB_OWN,KG,,Y_GE58,,,,PT,80.6
2018,A,0,C,A,N,IT_MOB_OWN,KG,,,,,ISCED11_1,PT,58.1
2019,A,0,C,A,N,IT_MOB_OWN,KG,,,,,ISCED11_1,PT,60.7
2018,A,0,C,A,N,IT_MOB_OWN,KG,,,,,ISCED11_2,PT,84.0
2019,A,0,C,A,N,IT_MOB_OWN,KG,,,,,ISCED11_2,PT,82.7
2018,A,0,C,A,N,IT_MOB_OWN,KG,,,,,ISCED11_3,PT,92.8
2019,A,0,C,A,N,IT_MOB_OWN,KG,,,,,ISCED11_3,PT,92.0
2018,A,0,C,A,N,IT_MOB_OWN,KG,,,,,ISCED11_4,PT,96.4
2019,A,0,C,A,N,IT_MOB_OWN,KG,,,,,ISCED11_4,PT,96.0
2018,A,0,C,A,N,IT_MOB_OWN,KG,,,,,ISCED11_6_7,PT,98.1
2019,A,0,C,A,N,IT_MOB_OWN,KG,,,,,ISCED11_6_7,PT,97.5
2018,A,0,C,A,N,IT_MOB_OWN,KG,,,,Q1,,PT,88.9
2019,A,0,C,A,N,IT_MOB_OWN,KG,,,,Q1,,PT,86.2
2018,A,0,C,A,N,IT_MOB_OWN,KG,,,,Q2,,PT,90.2
2019,A,0,C,A,N,IT_MOB_OWN,KG,,,,Q2,,PT,90.9
2018,A,0,C,A,N,IT_MOB_OWN,KG,,,,Q3,,PT,91.9
2019,A,0,C,A,N,IT_MOB_OWN,KG,,,,Q3,,PT,90.5
2018,A,0,C,A,N,IT_MOB_OWN,KG,,,,Q4,,PT,91.9
2019,A,0,C,A,N,IT_MOB_OWN,KG,,,,Q4,,PT,93.3
2018,A,0,C,A,N,IT_MOB_OWN,KG,,,,Q5,,PT,94.6
2019,A,0,C,A,N,IT_MOB_OWN,KG,,,,Q5,,PT,93.4
