Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,UNIT_MEASURE,Value
2016,A,0,C,A,N,EG_ACS_ELEC,KG,,,,,,PT,76.7
2017,A,0,C,A,N,EG_ACS_ELEC,KG,,,,,,PT,79.6
2018,A,0,C,A,N,EG_ACS_ELEC,KG,,,,,,PT,75.7
2019,A,0,C,A,N,EG_ACS_ELEC,KG,,,,,,PT,76.1
2016,A,0,C,A,N,EG_ACS_ELEC,KG,,,U,,,PT,86.9
2017,A,0,C,A,N,EG_ACS_ELEC,KG,,,U,,,PT,88.4
2018,A,0,C,A,N,EG_ACS_ELEC,KG,,,U,,,PT,88.6
2019,A,0,C,A,N,EG_ACS_ELEC,KG,,,U,,,PT,90.5
2016,A,0,C,A,N,EG_ACS_ELEC,KG,,,R,,,PT,71.1
2017,A,0,C,A,N,EG_ACS_ELEC,KG,,,R,,,PT,74.8
2018,A,0,C,A,N,EG_ACS_ELEC,KG,,,R,,,PT,68.7
2019,A,0,C,A,N,EG_ACS_ELEC,KG,,,R,,,PT,68.0
2016,A,0,C,A,N,EG_ACS_ELEC,KG,M,,,,,PT,76.1
2017,A,0,C,A,N,EG_ACS_ELEC,KG,M,,,,,PT,79.2
2018,A,0,C,A,N,EG_ACS_ELEC,KG,M,,,,,PT,74.7
2019,A,0,C,A,N,EG_ACS_ELEC,KG,M,,,,,PT,75.1
2016,A,0,C,A,N,EG_ACS_ELEC,KG,F,,,,,PT,77.2
2017,A,0,C,A,N,EG_ACS_ELEC,KG,F,,,,,PT,80.0
2018,A,0,C,A,N,EG_ACS_ELEC,KG,F,,,,,PT,76.6
2019,A,0,C,A,N,EG_ACS_ELEC,KG,F,,,,,PT,76.9
2016,A,0,C,A,N,EG_ACS_ELEC,KG05,,,,,,PT,75.8
2017,A,0,C,A,N,EG_ACS_ELEC,KG05,,,,,,PT,70.8
2018,A,0,C,A,N,EG_ACS_ELEC,KG05,,,,,,PT,71.8
2019,A,0,C,A,N,EG_ACS_ELEC,KG05,,,,,,PT,71.6
2016,A,0,C,A,N,EG_ACS_ELEC,KG03,,,,,,PT,76.7
2017,A,0,C,A,N,EG_ACS_ELEC,KG03,,,,,,PT,74.4
2018,A,0,C,A,N,EG_ACS_ELEC,KG03,,,,,,PT,64.4
2019,A,0,C,A,N,EG_ACS_ELEC,KG03,,,,,,PT,66.6
