Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2013,A,0,C,A,N,_L_KG_080301_21,KG,PT,2.3
2014,A,0,C,A,N,_L_KG_080301_21,KG,PT,2.3
2015,A,0,C,A,N,_L_KG_080301_21,KG,PT,2.2
2016,A,0,C,A,N,_L_KG_080301_21,KG,PT,2.2
2017,A,0,C,A,N,_L_KG_080301_21,KG,PT,2.3
2018,A,0,C,A,N,_L_KG_080301_21,KG,PT,2.2
2019,A,0,C,A,N,_L_KG_080301_21,KG,PT,3.0
2013,A,0,C,A,N,_L_KG_080301_22,KG,PT,1.6
2014,A,0,C,A,N,_L_KG_080301_22,KG,PT,1.6
2015,A,0,C,A,N,_L_KG_080301_22,KG,PT,1.5
2016,A,0,C,A,N,_L_KG_080301_22,KG,PT,1.5
2017,A,0,C,A,N,_L_KG_080301_22,KG,PT,1.5
2018,A,0,C,A,N,_L_KG_080301_22,KG,PT,1.4
2019,A,0,C,A,N,_L_KG_080301_22,KG,PT,1.4
