Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,COMMENT_TS,Value
2007,A,0,C,A,N,NV_IND_MANF,KG,PT,PT,9.9
2008,A,0,C,A,N,NV_IND_MANF,KG,PT,PT,13.2
2009,A,0,C,A,N,NV_IND_MANF,KG,PT,PT,14.2
2010,A,0,C,A,N,NV_IND_MANF,KG,PT,PT,16.9
2011,A,0,C,A,N,NV_IND_MANF,KG,PT,PT,18.3
2012,A,0,C,A,N,NV_IND_MANF,KG,PT,PT,12.1
2013,A,0,C,A,N,NV_IND_MANF,KG,PT,PT,15.8
2014,A,0,C,A,N,NV_IND_MANF,KG,PT,PT,13.7
2015,A,0,C,A,N,NV_IND_MANF,KG,PT,PT,14.0
2016,A,0,C,A,N,NV_IND_MANF,KG,PT,PT,15.4
2017,A,0,C,A,N,NV_IND_MANF,KG,PT,PT,15.0
2018,A,0,C,A,N,NV_IND_MANF,KG,PT,PT,14.3
2019,A,0,C,A,N,NV_IND_MANF,KG,PT,PT,14.3
2007,A,3,C,A,N,NV_IND_MANFPC,KG,CUR_LCU,CUR_LCU,2.8
2008,A,3,C,A,N,NV_IND_MANFPC,KG,CUR_LCU,CUR_LCU,4.9
2009,A,3,C,A,N,NV_IND_MANFPC,KG,CUR_LCU,CUR_LCU,5.6
2010,A,3,C,A,N,NV_IND_MANFPC,KG,CUR_LCU,CUR_LCU,7.2
2011,A,3,C,A,N,NV_IND_MANFPC,KG,CUR_LCU,CUR_LCU,9.9
2012,A,3,C,A,N,NV_IND_MANFPC,KG,CUR_LCU,CUR_LCU,7.0
2013,A,3,C,A,N,NV_IND_MANFPC,KG,CUR_LCU,CUR_LCU,10.3
2014,A,3,C,A,N,NV_IND_MANFPC,KG,CUR_LCU,CUR_LCU,9.8
2015,A,3,C,A,N,NV_IND_MANFPC,KG,CUR_LCU,CUR_LCU,10.6
2016,A,3,C,A,N,NV_IND_MANFPC,KG,CUR_LCU,CUR_LCU,12.6
2017,A,3,C,A,N,NV_IND_MANFPC,KG,CUR_LCU,CUR_LCU,13.4
2018,A,3,C,A,N,NV_IND_MANFPC,KG,CUR_LCU,CUR_LCU,13.4
2019,A,3,C,A,N,NV_IND_MANFPC,KG,CUR_LCU,CUR_LCU,13.5
