Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2010,A,0,C,A,N,_L_KG_090401_1,KG,,KG,153.6
2011,A,0,C,A,N,_L_KG_090401_1,KG,,KG,212.4
2012,A,0,C,A,N,_L_KG_090401_1,KG,,KG,217.7
2013,A,0,C,A,N,_L_KG_090401_1,KG,,KG,225.5
2014,A,0,C,A,N,_L_KG_090401_1,KG,,KG,302.6
2015,A,0,C,A,N,_L_KG_090401_1,KG,,KG,304.9
2016,A,0,C,A,N,_L_KG_090401_1,KG,,KG,264.3
2017,A,0,C,A,N,_L_KG_090401_1,KG,,KG,248.2
2018,A,0,C,A,N,_L_KG_090401_1,KG,,KG,283.6
2019,A,0,C,A,N,_L_KG_090401_1,KG,,KG,251.6
2010,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_SOLID,KG,74.5
2011,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_SOLID,KG,90.6
2012,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_SOLID,KG,90.9
2013,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_SOLID,KG,80.0
2014,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_SOLID,KG,112.7
2015,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_SOLID,KG,121.8
2016,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_SOLID,KG,101.3
2017,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_SOLID,KG,126.1
2018,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_SOLID,KG,91.0
2019,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_SOLID,KG,76.5
2010,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_GASLIQ,KG,79.0
2011,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_GASLIQ,KG,121.8
2012,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_GASLIQ,KG,126.8
2013,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_GASLIQ,KG,145.6
2014,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_GASLIQ,KG,189.9
2015,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_GASLIQ,KG,183.1
2016,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_GASLIQ,KG,163.0
2017,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_GASLIQ,KG,122.1
2018,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_GASLIQ,KG,192.6
2019,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_GASLIQ,KG,175.1
2010,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_S02,KG,39.5
2011,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_S02,KG,47.0
2012,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_S02,KG,27.1
2013,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_S02,KG,63.1
2014,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_S02,KG,92.3
2015,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_S02,KG,95.4
2016,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_S02,KG,80.6
2017,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_S02,KG,39.0
2018,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_S02,KG,90.3
2019,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_S02,KG,75.5
2010,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_CO,KG,17.0
2011,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_CO,KG,48.4
2012,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_CO,KG,49.8
2013,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_CO,KG,52.3
2014,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_CO,KG,61.5
2015,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_CO,KG,49.9
2016,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_CO,KG,47.1
2017,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_CO,KG,47.1
2018,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_CO,KG,60.7
2019,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_CO,KG,48.0
2010,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_NOX,KG,12.5
2011,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_NOX,KG,15.4
2012,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_NOX,KG,17.6
2013,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_NOX,KG,17.3
2014,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_NOX,KG,21.2
2015,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_NOX,KG,20.0
2016,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_NOX,KG,21.8
2017,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_NOX,KG,19.5
2018,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_NOX,KG,22.8
2019,A,0,C,A,N,_L_KG_090401_1,KG,_L_POL_NOX,KG,25.5
