Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2010,A,0,C,A,N,GB_POP_SCIERD,KG,PER_1000000_POP,360
2011,A,0,C,A,N,GB_POP_SCIERD,KG,PER_1000000_POP,401
2012,A,0,C,A,N,GB_POP_SCIERD,KG,PER_1000000_POP,415
2013,A,0,C,A,N,GB_POP_SCIERD,KG,PER_1000000_POP,530
2014,A,0,C,A,N,GB_POP_SCIERD,KG,PER_1000000_POP,511
2015,A,0,C,A,N,GB_POP_SCIERD,KG,PER_1000000_POP,572
2016,A,0,C,A,N,GB_POP_SCIERD,KG,PER_1000000_POP,563
2017,A,0,C,A,N,GB_POP_SCIERD,KG,PER_1000000_POP,524
2018,A,0,C,A,N,GB_POP_SCIERD,KG,PER_1000000_POP,555
2019,A,0,C,A,N,GB_POP_SCIERD,KG,PER_1000000_POP,527
